record_id,full_text_status,full_text_location,notes
R92D659F20300,not_retrievable,,No OA copy found via Unpaywall.
R6AF6EAFD1D4D,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R6AF6EAFD1D4D_meho-akakpo_2026.pdf,Retrieved OA via OpenAlex extra thorough check
R07131CF3EAEE,not_retrievable,,Failed to download PDF from https://iwaponline.com/wp/article-pdf/doi/10.2166/wp.2026.005/1614697/wp2026005.pdf: HTTP Error 403: Forbidden
RC78DCEC4F3E0,not_retrievable,,No OA copy found via Unpaywall.
R4A7F8709BEDE,not_retrievable,,No OA copy found via Unpaywall.
REFFEF2814C9D,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\REFFEF2814C9D_ang_2026.pdf,Retrieved OA via OpenAlex extra thorough check
R4BFAEC61E31D,not_retrievable,,No OA copy found via Unpaywall.
R17BBF0A9B354,not_retrievable,,Failed to download PDF from https://iwaponline.com/wp/article-pdf/doi/10.2166/wp.2026.211/1611395/wp2026211.pdf: HTTP Error 403: Forbidden
R3B336474D5A8,not_retrievable,,No OA copy found via Unpaywall.
R0C30B1B38A88,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R0C30B1B38A88_thao_2026.pdf,Retrieved OA via https://geomatejournal.com/geomate/article/download/5532/3948
RDF44358DDDE0,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/18/10/1134/pdf?version=1778331043: HTTP Error 403: Forbidden
RE8F43EAB1543,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RE8F43EAB1543_ali_2026.pdf,Retrieved OA via https://ijbes.utm.my/index.php/ijbes/article/download/1691/380
R950331185956,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R950331185956_de_2026.pdf,Retrieved OA via https://periodicos.ufes.br/simbiotica/article/download/51836/36621
RA169CD8CFAD7,not_retrievable,,No OA copy found via Unpaywall.
RD874B0BA92F5,not_retrievable,,Failed to download PDF from https://raximhai.uaim.edu.mx/index.php/rx/article/download/1439/1577: HTTP Error 404: Not Found
RC6ED4CA9878A,not_retrievable,,No OA copy found via Unpaywall.
RCA99B0147B4C,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RCA99B0147B4C_bartels_2026.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1007/s13412-025-01019-2.pdf
RC8825BCBCC65,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RC8825BCBCC65_barra_2026.pdf,Retrieved OA via OpenAlex extra thorough check
R588334F09232,not_retrievable,,No OA copy found via Unpaywall.
R9A203CB00C16,not_retrievable,,No OA copy found via Unpaywall.
R77483E43FDD3,not_retrievable,,No OA copy found via Unpaywall.
RF55ED6768D89,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RF55ED6768D89_bohne_2026.pdf,Retrieved OA via https://revistas.uniandes.edu.co/index.php/hiscrit/article/download/11059/11370
R460536A026A7,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R460536A026A7_adams_2026.pdf,Retrieved OA via OpenAlex extra thorough check
RA5585BA5484B,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RA5585BA5484B_lubsanova_2026.pdf,Retrieved OA via https://library.acadlore.com/CIS/2026/14/4/CIS_14.04_04.pdf
R3BF9C93DC6A9,not_retrievable,,No OA copy found via Unpaywall.
RCF3B987D4EF8,not_retrievable,,No OA copy found via Unpaywall.
RDE881F47243D,not_retrievable,,Failed to download PDF from https://www.scienceopen.com/document_file/fff3bdc5-175b-4171-81dd-2dcbb74b4d0d/ScienceOpen/roape20260008.pdf: HTTP Error 403: Forbidden
REB6140EE3033,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\REB6140EE3033_tiwale_2026.pdf,Retrieved OA via OpenAlex extra thorough check
R0DB69693C7EB,not_retrievable,,No OA copy found via Unpaywall.
R4D3EE9BBEA3C,not_retrievable,,No OA copy found via Unpaywall.
R65E0D0F26A0A,not_retrievable,,Failed to download PDF from https://iwaponline.com/wp/article-pdf/doi/10.2166/wp.2026.347/1611155/wp2026347.pdf: HTTP Error 403: Forbidden
R85301EA43953,not_retrievable,,No OA copy found via Unpaywall.
RF7F3331F5944,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RF7F3331F5944_chimombo_2025.pdf,Retrieved OA via https://www.frontiersin.org/journals/water/articles/10.3389/frwa.2025.1615202/pdf
R8D85A846848A,not_retrievable,,No OA copy found via Unpaywall.
RADD54B6C65E2,not_retrievable,,No OA copy found via Unpaywall.
R95A95810A3D0,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R95A95810A3D0_dos_2025.pdf,Retrieved OA via OpenAlex extra thorough check
RB22F274A2711,not_retrievable,,No OA copy found via Unpaywall.
R1D27DF36A4B5,not_retrievable,,No OA copy found via Unpaywall.
RD15ECB681381,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RD15ECB681381_ross_2025.pdf,Retrieved OA via OpenAlex extra thorough check
R56C569132942,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R56C569132942_lima_2025.pdf,Retrieved OA via https://www.e-publicacoes.uerj.br/rdc/article/download/77431/57114
RD8BF2A1FF967,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RD8BF2A1FF967_muzioreva_2025.pdf,Retrieved OA via OpenAlex extra thorough check
RD3B970DE99B0,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RD3B970DE99B0_vyas-doorgapersad_2025.pdf,Retrieved OA via https://revista.domhelder.edu.br/index.php/veredas/article/download/3358/26305
R0B54DA229A78,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R0B54DA229A78_burga_2025.pdf,Retrieved OA via https://revistas.ort.edu.uy/anales-de-investigacion-en-arquitectura/article/download/4090/4667
RE212DDC5ACF1,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RE212DDC5ACF1_tran_2025.pdf,Retrieved OA via https://inz-min.online/index.php/im/article/download/1512/2881
R47B995771A17,not_retrievable,,No OA copy found via Unpaywall.
RCFD40D935BC2,not_retrievable,,No OA copy found via Unpaywall.
RD768BF81FBAA,not_retrievable,,Failed to download PDF from https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gove.12753: HTTP Error 403: Forbidden
R352E980B8150,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R352E980B8150_rodina_2024.pdf,Retrieved OA via OpenAlex extra thorough check
RF412A9491865,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RF412A9491865_pedraza_2024.pdf,Retrieved OA via https://revistas.urosario.edu.co/index.php/territorios/article/download/12222/12007
RFF643A810E48,not_retrievable,,Failed to download PDF from https://journals.sagepub.com/doi/pdf/10.1177/25148486231160642?download=true: HTTP Error 403: Forbidden
