record_id,full_text_status,full_text_location,notes
R45641CF1C6FA,not_retrievable,,No OA copy found via Unpaywall.
REF1851D5AE3F,not_retrievable,,No OA copy found via Unpaywall.
R3B7CB6385E56,not_retrievable,,No OA copy found via Unpaywall.
RB8C0B5A1BB04,not_retrievable,,No OA copy found via Unpaywall.
RC0FCB69ED597,not_retrievable,,No OA copy found via Unpaywall.
RB5444B329650,not_retrievable,,No OA copy found via Unpaywall.
REB85F9212C3F,not_retrievable,,Failed to download PDF from https://www.sciencedirect.com/science/article/pii/S0016718517301665: HTTP Error 403: Forbidden
R700E3084D85D,not_retrievable,,No OA copy found via Unpaywall.
RE54EF28A4406,not_retrievable,,No OA copy found via Unpaywall.
R0532032FE3BB,not_retrievable,,Failed to download PDF from http://www.iges.or.jp/system/files/publication_documents/pub/peer/10785/Pankaj_Kumar_et_al_SS_2017.pdf: HTTP Error 403: Forbidden
R56D409CF27A6,not_retrievable,,No OA copy found via Unpaywall.
RC2F103D94FC7,not_retrievable,,No OA copy found via Unpaywall.
RAEA417FA9A83,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RAEA417FA9A83_gasparro_2017.pdf,Retrieved OA via https://digitalcommons.georgefox.edu/mece_fac/74
R9926E6BB7498,not_retrievable,,No OA copy found via Unpaywall.
RB152A5748C77,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RB152A5748C77_rietveld_2016.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1186/s12940-016-0107-2.pdf
RCF1AD58436DF,not_retrievable,,No OA copy found via Unpaywall.
RF04979D5CC95,not_retrievable,,Failed to download PDF from https://iwaponline.com/wp/article-pdf/18/4/948/404025/018040948.pdf: HTTP Error 403: Forbidden
R5DEA9225B1BF,not_retrievable,,No OA copy found via Unpaywall.
R28696F973EF4,not_retrievable,,No OA copy found via Unpaywall.
RF0CD29C4EEC1,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RF0CD29C4EEC1_ngambi_2016.pdf,Retrieved OA via OpenAlex extra thorough check
R35FB60763E55,not_retrievable,,No OA copy found via Unpaywall.
R26D33D07A9AC,not_retrievable,,No OA copy found via Unpaywall.
R7B043D18F36C,not_retrievable,,No OA copy found via Unpaywall.
R6A459D59A92A,not_retrievable,,No OA copy found via Unpaywall.
R73487CC7FF84,not_retrievable,,No OA copy found via Unpaywall.
R420DE16EB90E,not_retrievable,,No OA copy found via Unpaywall.
RCD44792548EF,not_retrievable,,No OA copy found via Unpaywall.
RF63F0202ABB5,not_retrievable,,No OA copy found via Unpaywall.
RDC37E0771C28,not_retrievable,,No OA copy found via Unpaywall.
RED1DDE4608AA,not_retrievable,,No OA copy found via Unpaywall.
R35688D83A3FB,not_retrievable,,No OA copy found via Unpaywall.
R0BE5FFDEDC88,not_retrievable,,No OA copy found via Unpaywall.
R27783A9D443D,not_retrievable,,No OA copy found via Unpaywall.
RBE126A48DC78,not_retrievable,,No OA copy found via Unpaywall.
RED031F3340F7,not_retrievable,,No OA copy found via Unpaywall.
R330A544EACCE,not_retrievable,,No OA copy found via Unpaywall.
RBBCA1C655093,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RBBCA1C655093_kenney_2016.pdf,Retrieved OA via OpenAlex extra thorough check
RBC8BB8389909,not_retrievable,,No OA copy found via Unpaywall.
RDC5BD0E41BEE,not_retrievable,,No OA copy found via Unpaywall.
RFB194B660A78,not_retrievable,,No OA copy found via Unpaywall.
R5691BDC5804B,not_retrievable,,No OA copy found via Unpaywall.
R97D2D4921F0B,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R97D2D4921F0B_estache_2016.pdf,Retrieved OA via OpenAlex extra thorough check
R55942E690395,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R55942E690395_gomes_2016.pdf,Retrieved OA via https://www.proc-iahs.net/373/125/2016/piahs-373-125-2016.pdf
R6644A93C9B6F,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R6644A93C9B6F_braimah_2016.pdf,Retrieved OA via https://link.springer.com/content/pdf/10.1007%2Fs40899-016-0070-7.pdf
R276F53A7E8D1,not_retrievable,,Failed to download PDF from https://iwaponline.com/wp/article-pdf/18/6/1436/403528/018061436.pdf: HTTP Error 403: Forbidden
R45FB2A780DA8,not_retrievable,,No OA copy found via Unpaywall.
R44F453EBBB3E,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R44F453EBBB3E_koehler_2016.pdf,Retrieved OA via OpenAlex extra thorough check
R8134515D9626,not_retrievable,,No OA copy found via Unpaywall.
RD190F3A11A59,not_retrievable,,No OA copy found via Unpaywall.
R63CBCB8C5C0B,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R63CBCB8C5C0B_juliano_2016.pdf,Retrieved OA via https://www.scielo.br/j/csc/a/3CfNnrcwjhqD3gmNpnGsqyL/?lang=pt&format=pdf
