Seção,Página
1 INTRODUÇÃO,21
1.1 PROBLEMA,23
1.2 HIPÓTESE,23
1.3 OBJETIVOS,23
1.3.1 Objetivo geral,23
1.3.2 Objetivos específicos,23
1.4 JUSTIFICATIVA,24
2. FUNDAMENTAÇÃO TEÓRICA,27
2.1 Escorço Histórico e Noções Gerais do Saneamento Básico,27
2.1.1 - Histórico do Saneamento Básico no Mundo,27
2.2 - Histórico do Saneamento Básico no Brasil,30
2.3 – A importância do Saneamento e o conceito moderno de Saneamento,48
2.4- Escorço histórico da Sustentabilidade e os ODS 6 e 11,52
2.4.1 - Histórico do conceito de sustentabilidade e saneamento como direito,52
2.4.2 - Os Objetivos do Desenvolvimento Sustentável,60
2.4.3 - Objetivo de Desenvolvimento Sustentável 6: Água potável e saneamento,63
2.4.4 - Objetivo de Desenvolvimento Sustentável 11: Cidades e Comunidades Sustentáveis,66
"2.5 - Desenvolvimento, Direitos Fundamentais e Propostas de Emenda à Constituição",71
2.5.1 - Tutela dos Direitos Sociais e o Desenvolvimento Sustentável,71
2.5.1.1 - Direitos Fundamentais e suas dimensões ou gerações,74
2.5.1.1.1 - Sexta Geração de Direitos Fundamentais,79
2.5.2 - Legislação em vigor em relação ao Saneamento no Brasil,81
2.5.3 - Propostas de Emenda à Constituição,86
2.5.3.1 - A constitucionalização de direitos sociais,91
"2.5.3.2 - Críticas à constitucionalização dos direitos sociais, frequente emendamento constitucional e superinflação legislativa",92
2.5.3.3 - Proposta de Emenda à CRFB nº 02/2016 (PEC 2/2016),97
2.5.3.4 - Proposta de Emenda à CRFB nº 06/2021 (PEC 6/2021),98
2.6 - Comparação do sistema de distribuição de recursos para os estados/províncias no Brasil e no Canadá,100
