"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Sambito M.; Freni G.","Sambito, Mariacrocetta (56703165100); Freni, Gabriele (23392716300)","56703165100; 23392716300","Strategies for improving optimal positioning of quality sensors in urban drainage systems for non-conservative contaminants","2021","Water (Switzerland)","13","7","934","","","48","10.3390/w13070934","https://www.scopus.com/pages/publications/85103873373?origin=resultslist","In the urban drainage sector, the problem of polluting discharges in sewers may act on the proper functioning of the sewer system, on the wastewater treatment plant reliability and on the receiving water body preservation. Therefore, the implementation of a chemical monitoring network is necessary to promptly detect and contain the event of contamination. Sensor location is usually an optimization exercise that is based on probabilistic or black-box methods and their efficiency is usually dependent on the initial assumption made on possible eligibility of nodes to become a monitoring point. It is a common practice to establish an initial non-informative assumption by considering all network nodes to have equal possibilities to allocate a sensor. In the present study, such a common approach is compared with different initial strategies to pre-screen eligible nodes as a function of topological and hydraulic information, and non-formal ‘grey’ information on the most probable locations of the contamination source. Such strategies were previously compared for conservative xenobiotic contaminations and now they are compared for a more difficult identificationexercise: The detection of nonconservative immanent contaminants. The strategies are applied to a Bayesian optimization approach that demonstrated to be efficient in contamination source location. The case study is the literature network of the Storm Water Management Model (SWMM) manual, Example 8. The results show that the pre-screening and ‘grey’ information are able to reduce the computational effort needed to obtain the optimal solution or, with equal computational effort, to improve location efficiency. The nature of the contamination is highly relevant, affecting monitoring efficiency, sensor location and computational efforts to reach optimality. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Bayesian approach; Illicit intrusion; Optimal positioning; Urban drainage system; Water quality sensors","Contamination; Efficiency; Location; Sewage treatment plants; Sewers; Wastewater treatment; Water management; Bayesian optimization; Computational effort; Contamination sources; Optimal positioning; Receiving water bodies; Stormwater management model(SWMM); Urban drainage systems; Wastewater treatment plants; chemical pollutant; hydrological modeling; pollutant source; sensor; strategic approach; wastewater treatment plant; Pollution detection","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85103873373"
"Antwi S.H.; Linnane S.; Getty D.; Rolston A.","Antwi, Sarpong Hammond (57210561155); Linnane, Suzanne (56422103200); Getty, David (57219702064); Rolston, Alec (57190941100)","57210561155; 56422103200; 57219702064; 57190941100","River basin management planning in the republic of ireland: Past, present and the future","2021","Water (Switzerland)","13","15","2074","","","23","10.3390/w13152074","https://www.scopus.com/pages/publications/85111925715?origin=resultslist","The River Basin Management Plan (RBMP) is an essential component of the European Union Water Framework Directive that details an integrated approach required to protect, improve and sustainably manage water resources. RBMP were intended to be produced for the periods 2009–2015, 2016–2021 and 2022–2027. However, after two years of delays in the development processes, the Republic of Ireland produced its first RBMP in 2010. The second RBMP cycle was also implemented in 2018 and is expected to run until the end of 2021 to give way to the third RBMP, whose consultation processes have been ongoing since December 2019. This paper contributes to the forthcoming RBMP by assessing stakeholders’ perspectives on the second RBMP through a deskbased review and by conducting interviews with nine institutions (14 interviewees). The qualitatively analysed interviews reveal a broad spectrum of actors associated with water management and governance in the Republic of Ireland through a three-tier governance structure that has been delivered (with amendment) through the first two RBMPs. Organisations such as the An Fóram Uisce|The Water Forum, the Environmental Protection Agency, the Local Authority Waters, and the Agricultural Sustainability Support and Advisory Programme have responsibilities designated in the RBMPs to deliver improved water quality, integrated catchment management, community engagement and awareness-raising. Trust has also been building up among these organisations and other agencies in the water sector. Despite these responsibilities and progress made, the interviews identified communication lapses, ineffective collaboration and coordination among stakeholders and late implementation to be hampering the successful delivery of the second RBMP, in addition to significant pressures acting on water bodies from agricultural activities and urban wastewater treatment. Towards the third RBMP, the paper concludes that optimised water sector finance, enhanced and well-resourced communications, and improved stakeholder collaboration are needed to foster effective and efficient water services delivery and quality. More so, given the cross-cutting impact of the Sustainable Development Goals on water resources and the interconnected relations among the goals, the paper further recommends the integration of the SDGs in the various plans of actions and a co-benefits approach to derive the triple benefits from biodiversity, climate change initiatives and water quality measures. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","River Basin Management Plan; Stakeholders; Water framework directive; Water governance; Water resource management","Ireland; Agricultural robots; Agriculture; Biodiversity; Climate change; Economic and social effects; Environmental Protection Agency; Environmental regulations; Service industry; Sustainable development; Wastewater treatment; Water conservation; Water quality; Watersheds; Agricultural activities; Agricultural sustainability; Community engagement; European union water framework directives; Governance structures; Integrated catchment managements; River basin management; River basin management plans; basin management; catchment; climate change; European Union; integrated approach; river basin; Sustainable Development Goal; water industry; water management; water quality; Water management","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85111925715"
"Van Engelenburg J.; Van Slobbe E.; Teuling J.A.; Uijlenhoet R.; Hellegers P.","Van Engelenburg, Jolijn (57195609915); Van Slobbe, Erik (18134775700); Teuling, Adriaan J. (8839237600); Uijlenhoet, Remko (6602321641); Hellegers, Petra (55956584000)","57195609915; 18134775700; 8839237600; 6602321641; 55956584000","Sustainability characteristics of drinking water supply in the Netherlands","2021","Drinking Water Engineering and Science","14","1","","1","43","7","10.5194/dwes-14-1-2021","https://www.scopus.com/pages/publications/85099654276?origin=resultslist","p Developments such as climate change and a growing demand for drinking water threaten the sustainability of drinking water supply worldwide. To deal with this threat, adaptation of drinking water supply systems is imperative, not only on a global and national scale but particularly on a local scale. This investigation sought to establish characteristics that describe the sustainability of local drinking water supply. The hypothesis of this research was that sustainability characteristics depend on the context that is analysed, and therefore, a variety of cases must be analysed to reach a better understanding of the sustainability of drinking water supply in the Netherlands. Therefore, three divergent cases on drinking water supply in the Netherlands were analysed. One case related to a short-term development (2018 summer drought), and two concerned long-term phenomena (changes in water quality and growth in drinking water demand). We used an integrated systems approach, describing the local drinking water supply system in terms of hydrological, technical, and socio-economic characteristics that determine the sustainability of a local drinking water supply system. To gain a perspective on the case study findings that are broader than the Dutch context, the sustainability aspects identified were paired with global aspects concerning sustainable drinking water supply. This resulted in the following set of hydrological, technical, and socio-economic sustainability characteristics: (1) water quality, water resource availability, and impact of drinking water abstraction; (2) reliability and resilience of the technical system and energy use and environmental impact; (3) drinking water availability, water governance, and land and water use. Elaboration of these sustainability characteristics and criteria into a sustainability assessment can provide information on the challenges and trade-offs inherent in the sustainable development and management of a local drinking water supply system. © 2021 Royal Society of Chemistry. All rights reserved.","","Climate change; Economic and social effects; Environmental impact; Information management; Sustainable development; Water conservation; Water quality; Water resources; Water supply; Water supply systems; Integrated systems; Resource availability; Summer droughts; Sustainability assessment; Technical systems; Water abstraction; Water availability; Water governance; Potable water","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85099654276"
"Whaley L.; Cleaver F.; Mwathunga E.","Whaley, Luke (56097072700); Cleaver, Frances (6602082781); Mwathunga, Evance (55996692700)","56097072700; 6602082781; 55996692700","Flesh and bones: Working with the grain to improve community management of water","2021","World Development","138","","105286","","","37","10.1016/j.worlddev.2020.105286","https://www.scopus.com/pages/publications/85096404567?origin=resultslist","Despite cogent critiques and limited successes, community-based management (CBM) remains central to policies for natural resource management and service delivery. Various approaches have been suggested to strengthen CBM by ‘working with the grain’ of existing social arrangements and relationships. For advocates, such approaches ensure that management arrangements are rooted in local realities and are therefore more likely to be effective. Implementing this approach is, however, methodologically, empirically, and operationally challenging. In this paper, we centre these challenges through a study of community-managed water in rural Ethiopia, Malawi, and Uganda. We examine water management arrangements by undertaking an in-depth social survey of 150 communities in the three countries. We also undertake yearlong studies in 12 communities in Malawi and Uganda involving 30 diary keepers. This focus on the local is complemented by country-level political economy analyses and district-level sustainability assessments. Our multi-country extensive-intensive research design uncovers the flesh and bones of CBM, and provides explanations for our findings. In Ethiopia, water management arrangements are more likely to be fleshed out – fully formed committees often working in conjunction with other institutions. In Malawi and Uganda, water management arrangements tend to be skeleton crews of key individuals. The position we adopt is located between advocacy and critique. We recognise the potential of working with the grain. We also recognise the considerable challenges of operationalising this approach without reducing it to another standardised checklist or toolbox. In an attempt to reconcile this tension, we identify practical entry points and sketch out requirements for a more socially informed, reflexive, and effective approach to working with the grain. Whether this can be operationalised within the logics of mainstream development, and whether it can ‘save’ the CBM model, remain open questions. © 2020 The Authors","Africa; Community-based management; Ethiopia, Malawi and Uganda; Institutional bricolage; Water governance; Working with the grain","Ethiopia; Malawi; Uganda; community resource management; governance approach; institutional framework; water planning; water resource; water supply","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85096404567"
"Kwiringira J.N.; Kabumbuli R.; Zakumumpa H.; Mugisha J.; Akugizibwe M.; Ariho P.; Rujumba J.","Kwiringira, Japheth Nkiriyehe (38961398000); Kabumbuli, Robert (26026291900); Zakumumpa, Henry (57191610518); Mugisha, James (37023472700); Akugizibwe, Mathias (59561249300); Ariho, Paulino (57209050106); Rujumba, Joseph (37001398700)","38961398000; 26026291900; 57191610518; 37023472700; 59561249300; 57209050106; 37001398700","Re-conceptualizing sustainable urban sanitation in Uganda: why the roots of ‘Slumification’ must be dealt with","2021","BMC Public Health","21","1","992","","","28","10.1186/s12889-021-11029-8","https://www.scopus.com/pages/publications/85106957503?origin=resultslist","Background: Country-wide urbanization in Uganda has continued amidst institutional challenges. Previous interventions in the water and sanitation sector have not addressed the underlying issues of a poorly managed urbanization processes. Poor urbanisation is linked to low productivity, urban poverty, unemployment, limited capacity to plan and offer basic services as well as a failure to enforce urban standards. Methods: This ethnographic study was carried out in three urban centres of Gulu, Mbarara and Kampala. We explored relationships between urban livelihoods and sustainable urban sanitation, using the economic sociology of urban sanitation framework. This framework locates the urbanization narrative within a complex system entailing demand, supply, access, use and sustainability of slum sanitation. We used both inductive and deductive thematic analysis. Results: More than any other city in Uganda, Kampala was plagued with poor sanitation services characterized by a mismatch between demand and the available capacity for service provision. Poor slum sanitation was driven by; the need to escape rural poverty through urban migration, urban governance deficits, corruption and the survival imperative, poor service delivery and lack of capacity, pervasive (urban) informality, lack of standards: ‘to whom it may concern’ attitudes and the normalization of risk as a way of life. Amidst a general lack of affordability, there was a critical lack of public good conscience. Most urbanites were trapped in poverty, whereby economic survival trumped for the need for meeting desirable sanitation standards. Conclusions: Providing sustainable urban livelihoods and meeting sanitation demands is nested within sustainable livelihoods. Previous interventions have labored to fix the sanitation problem in slums without considering the drivers of this problem. Sustainable urban livelihoods are critical in reducing slums, improving slum living and curtailing the onset of slumification. Urban authorities need to make urban centres economically vibrant as an integral strategy for attaining better sanitation standards. © 2021, The Author(s).","Sustainable urban sanitation; Uganda; Urban livelihoods; Urban poverty; Urbanization; ‘Slumification/slumify’","Cities; Humans; Poverty Areas; Sanitation; Uganda; Urban Population; Urbanization; article; conscience; health care delivery; human; multicenter study; narrative; poverty; sanitation; sociology; thematic analysis; Uganda; urban population; urbanization; city; Uganda; urbanization","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106957503"
"Zia R.; Nawaz M.S.; Siddique M.J.; Hakim S.; Imran A.","Zia, Rabisa (57217071480); Nawaz, Muhammad Shoib (57215209367); Siddique, Muhammad Jawad (57219537687); Hakim, Sughra (57196465100); Imran, Asma (36172256200)","57217071480; 57215209367; 57219537687; 57196465100; 36172256200","Plant survival under drought stress: Implications, adaptive responses, and integrated rhizosphere management strategy for stress mitigation","2021","Microbiological Research","242","","126626","","","516","10.1016/j.micres.2020.126626","https://www.scopus.com/pages/publications/85093699350?origin=resultslist","In many regions of the world, the incidence and extent of drought spells are predicted to increase which will create considerable pressure on global agricultural yields. Most likely among all the abiotic stresses, drought has the strongest effect on soil biota and plants along with complex environmental effects on other ecological systems. Plants being sessile appears the least resilient where drought creates osmotic stress, limits nutrient mobility due to soil heterogeneity, and reduces nutrient access to plant roots. Drought tolerance is a complex quantitative trait controlled by many genes and is one of the difficult traits to study and characterize. Nevertheless, existing studies on drought have indicated the mechanisms of drought resistance in plants on the morphological, physiological, and molecular basis and strategies have been devised to cope with the drought stress such as mass screening, breeding, marker-assisted selection, exogenous application of hormones or osmoprotectants and or engineering for drought resistance. These strategies have largely ignored the role of the rhizosphere in the plant's drought response. Studies have shown that soil microbes have a substantial role in modulation of plant response towards biotic and abiotic stress including drought. This response is complex and involves alteration in host root system architecture through hormones, osmoregulation, signaling through reactive oxygen species (ROS), induction of systemic tolerance (IST), production of large chain extracellular polysaccharides (EPS), and transcriptional regulation of host stress response genes. This review focuses on the integrated rhizosphere management strategy for drought stress mitigation in plants with a special focus on rhizosphere management. This combinatorial approach may include rhizosphere engineering by addition of drought-tolerant bacteria, nanoparticles, liquid nano clay (LNC), nutrients, organic matter, along with plant-modification with next-generation genome editing tool (e.g., CRISPR/Cas9) for quickly addressing emerging challenges in agriculture. Furthermore, large volumes of rainwater and wastewater generated daily can be smartly recycled and reused for agriculture. Farmers and other stakeholders will get a proper knowledge-exchange and an ideal road map to utilize available technologies effectively and to translate the measures into successful plant-water stress management. The proposed approach is cost-effective, eco-friendly, user-friendly, and will impart long-lasting benefits on agriculture and ecosystem and reduce vulnerability to climate change. © 2020 Elsevier GmbH","Climate change; Drought; Osmoregulation; PGPR; Plant responses; Soil water deficit; Stress management strategies; Yield losses","Agriculture; Antioxidants; Droughts; Ecosystem; Osmoregulation; Osmotic Pressure; Plant Development; Plant Physiological Phenomena; Plant Roots; Plants; Reactive Oxygen Species; Rhizosphere; Soil; Stress, Physiological; Water Purification; Agricultural robots; Agronomy; Bacteria; Climate change; Cost effectiveness; Ecology; Endocrinology; Genes; Hormones; Knowledge management; Nutrients; Osmosis; Plants (botany); Soils; Wastewater reclamation; antioxidant; reactive oxygen metabolite; Biotic and abiotic stress; Combinatorial approach; Extracellular polysaccharides; Management strategies; Marker-assisted selection; Quantitative traits; Stress response genes; Transcriptional regulation; climate change; drought resistance; drought stress; genome; rainwater; rhizosphere; soil biota; stakeholder; vulnerability; wastewater; agriculture; drought; ecosystem; osmoregulation; osmotic pressure; physiological stress; physiology; plant; plant development; plant physiology; plant root; rhizosphere; soil; water management; Drought","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85093699350"
"Aregu M.B.; Kanno G.G.; Ashuro Z.; Alembo A.; Alemayehu A.","Aregu, Mekonnen Birhanie (57221976995); Kanno, Girum Gebremeskel (57221750148); Ashuro, Zemachu (57217119212); Alembo, Awash (57226266712); Alemayehu, Addisu (57353314700)","57221976995; 57221750148; 57217119212; 57226266712; 57353314700","Safe water supply challenges for hand hygiene in the prevention of COVID-19 in Southern Nations, Nationalities, and People's Region (SNNPR), Ethiopia","2021","Heliyon","7","11","e08430","","","14","10.1016/j.heliyon.2021.e08430","https://www.scopus.com/pages/publications/85119912658?origin=resultslist","Background: Proper hand hygiene practices are critical in disease prevention and control, including preventing the spread of the COVID-19 pandemic, but according to a recent global report, three billion people lack access to basic hand washing facilities (soap and water) at home. Therefore, this study aimed to determine the challenges related to safe and adequate water provision for hand hygiene in the prevention of COVID-19 in Gedeo Zone, SNNPR, Ethiopia. Methods: An institutional-based cross-sectional study design was used to assess the challenges associated with safe water supply in the prevention of COVID-19 in Gedeo Zone. Simple random sampling was used. The water sector's challenges were assessed using in-depth interviews with key informants. Water samples were collected from hand washing stations using a sterile bottle and the standard tap water sampling procedure. Bacterial analysis was carried out using membrane filtration techniques. The Wagtech Palin test and the Delagua portable water testing kit procedure was used to analyze World Health Organization (WHO) critical physicochemical parameters. Result: The physicochemical analysis of the sample water from the hand washing facilities reveals that the pH (6.5–8) is within the WHO guideline in all samples except Gedeb town (11.1%). The residual chlorine in the samples was less than 0.2 mg/l, which is below the standard in all towns, but 15.8% of the samples in Wonago town were between 0.2–0.5mg/l. Faecal coliforms were not found in 27.5%, 21.0%, 16.6%, and 40.7% of the samples collected in Dilla, Wonago, Yirgachefe, and Gedeb town, respectively. The remaining samples were all positive for faecal coliforms. Unbalanced demand versus supply, inaccessibility, supply interruptions, financial constraints, a scarcity of competent human resources, a lack of regular water quality assessments, and a lack of stakeholder support were all identified as major challenges by all water sectors of the study towns. The majority of hand washing water samples from all of the study towns were bacteriologically unsafe. The water sector must work hard to ensure that the community has safe drinking water. All responsible bodies and potential stakeholders must support the water sectors in the Gedeo zone. © 2021 The Author(s)","Challenge; COVID-19; Hand hygiene; Prevention; Safe water","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85119912658"
"Rokstad M.M.","Rokstad, Marius Møller (56590086900)","56590086900","Optimisation of fixed-outlet and flow-modulated pressure reduction measures in looped water distribution networks constrained by fire-fighting capacity requirements","2021","International Journal of Environmental Research and Public Health","18","13","7088","","","5","10.3390/ijerph18137088","https://www.scopus.com/pages/publications/85109117506?origin=resultslist","Pressure management is a pivotal component when reducing leakages from water distribution networks, and can be achieved by sub-dividing existing networks into partitions where the pressure can be reduced effectively. There is a need to develop methods that aid in the identification of cost-effective partitions for pressure reduction, while simultaneously verifying that the topological changes entailed in these solutions do not compromise reliability and (fire-fighting) capacity requirements, especially in systems where the capacity is ensured through looped networks. This paper presents a method that can be used to this end, in which a novel combination of hydraulic simulations and graph theory is used to determine the maximal potential for (dynamic and static) pressure reduction, and this is used as a constraint for multi-objective optimization of pressure reduction measures. Trondheim, Norway, has been used as a case study area, and it is demonstrated how the developed method aids in the process of achieving leakage reduction in Trondheim. The results for Trondheim show that an economically optimal solution for pressure management is predicted to lead to a reduction from 28 to 22% water loss volume, and furthermore that effective pressure management will rely heavily on active (dynamic) regulation in this particular system. © 2021 by the author. Licensee MDPI, Basel, Switzerland.","Drinking water distribution modelling; Leakage reduction; Multi-objective optimisation; Pressure management","Norway; Physical Phenomena; Reproducibility of Results; Water; Water Supply; Norway; Sor Trondelag; Trondheim; drinking water; water; distribution system; drinking water; leakage; modeling; optimization; pressure effect; water supply; Article; fire fighter; Norway; pressure; process optimization; simulation; water management; water supply; physical phenomena; reproducibility","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85109117506"
"Teichmann M.; Kuta D.; Szeligova N.; Kuda F.","Teichmann, M. (56297985400); Kuta, D. (57192382062); Szeligova, N. (57191844613); Kuda, F. (56034920200)","56297985400; 57192382062; 57191844613; 56034920200","Evaluation of urban water networks - Case study","2021","IOP Conference Series: Earth and Environmental Science","900","1","012047","","","0","10.1088/1755-1315/900/1/012047","https://www.scopus.com/pages/publications/85122176348?origin=resultslist","The subject of the paper is the elaboration of the topic of modeling and optimization of the reliability of systems for drinking water supply in the town of Hlucin and the adjacent villages Bobrovniky and Darkovicky. The paper points out modern ways of management and maintenance of these buildings, eg in the form of passportization, unification of various types of documentation, records of failures and accidents, etc. The aim is to point out possible ways to optimize these buildings and overall evaluation of the water supply network, including the suitable renewal schedule design. These practices are essential for the efficient operation of water supply networks, especially nowadays, when there is a shortage of water and it is necessary to promote sustainable urban development through its economical management. © Published under licence by IOP Publishing Ltd.","","","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85122176348"
"Almazán-Casali S.; Puga B.P.; Lemos M.C.","Almazán-Casali, Stefania (57205544196); Puga, Bruno Peregrina (57216582444); Lemos, Maria Carmen (24298924900)","57205544196; 57216582444; 24298924900","Who Governs at What Price? Technocratic Dominance, Ways of Knowing, and Long-Term Resilience of Brazil's Water System","2021","Frontiers in Water","3","","735018","","","6","10.3389/frwa.2021.735018","https://www.scopus.com/pages/publications/85119833487?origin=resultslist","Technocratic decision making has been long criticized for dampening participation and limiting the range of adaptive choices through its overreliance on infrastructure-based solutions. There has been growing attention to how technocratic approaches shape long-term resilience of water systems, especially under the threat of climatic change impacts. In Brazil, even under its highly decentralized and participatory water management system, technical expertise and science-based decisions have been often promoted as a desirable mechanism to insulate governance outcomes from the country's prevailing clientelistic and rent-seeking politics. Yet, Brazilian river basins continue to struggle with long-standing problems (such as universal access to sanitation) and increasing challenges for guaranteeing water provision under recurrent drought. In this study, we examine how technocratic insulation, different ways of knowing (WoKs), and participatory governance shape long-term resilience in one of Brazil's most important river basins, the Piracicaba-Capivari-Jundiaí (PCJ). By taking an in-depth look at how the PCJ River Basin's governance system responded to the 2014 Brazilian water crisis, we seek to understand how planning decisions in the aftermath of the crisis were influenced by different actors, and how the outcomes of those decisions are likely to shape long term resilience. Based on 27 in-depth interviews with members of the PCJ River Basin Committees, we show how a distinct preference for infrastructure-based solutions to deal with on-going and upcoming challenges may be unsustainable under climate change as the basin's traditional technocratic approach failed both to insulate its decisions from politics and to explore adaptive water management solutions that might be key to shape long-term resilience. Copyright © 2021 Almazán-Casali, Puga and Lemos.","climate vulnerability; drought; infrastructure; path-dependence; technocracy; water governance; water policy; ways of knowing","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85119833487"
"Young S.L.; Frongillo E.A.; Jamaluddine Z.; Melgar-Quiñonez H.; Pérez-Escamilla R.; Ringler C.; Rosinger A.Y.","Young, Sera L (35249987400); Frongillo, Edward A. (57206407924); Jamaluddine, Zeina (57191954864); Melgar-Quiñonez, Hugo (7801449282); Pérez-Escamilla, Rafael (7006355684); Ringler, Claudia (6603403564); Rosinger, Asher Y. (55498774300)","35249987400; 57206407924; 57191954864; 7801449282; 7006355684; 6603403564; 55498774300","Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being","2021","Advances in Nutrition","12","4","","1058","1073","176","10.1093/advances/nmab003","https://www.scopus.com/pages/publications/85105747658?origin=resultslist","Water security is a powerful concept that is still in its early days in the field of nutrition. Given the prevalence and severity of water issues and the many interconnections between water and nutrition, we argue that water security deserves attention commensurate with its importance to human nutrition and health. To this end, we first give a brief introduction to water insecurity and discuss its conceptualization in terms of availability, access, use, and stability. We then lay out the empirical grounding for its assessment. Parallels to the food-security literature are drawn throughout, both because the concepts are analogous and food security is familiar to the nutrition community. Specifically, we review the evolution of scales to measure water and food security and compare select characteristics. We then review the burgeoning evidence for the causes and consequences of water insecurity and conclude with 4 recommendations: 1) collect more water-insecurity data (i.e., on prevalence, causes, consequences, and intervention impacts); 2) collect better data on water insecurity (i.e., measure it concurrently with food security and other nutritional indicators, measure intrahousehold variation, and establish baseline indicators of both water and nutrition before interventions are implemented); 3) consider food and water issues jointly in policy and practice (e.g., establish linkages and possibilities for joint interventions, recognize the environmental footprint of nutritional guidelines, strengthen the nutrition sensitivity of water-management practices, and use experience-based scales for improving governance and regulation across food and water systems); and 4) make findings easily available so that they can be used by the media, community organizations, and other scientists for advocacy and in governance (e.g., tracking progress towards development goals and holding implementers accountable). As recognition of the importance of water security grows, we hope that so too will the prioritization of water in nutrition research, funding, and policy.  © 2021 The Author(s) 2021. Published by Oxford University Press on behalf of the American Society for Nutrition.","experience-based; food insecurity; household; indicator; individual; water insecurity","Food Security; Food Supply; Humans; Nutritional Status; Water; Water Supply; water; catering service; food security; human; nutritional status; water supply","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85105747658"
"Zhang L.; Yu H.; Jin J.; Hu Y.; Cui Y.; Wu C.","Zhang, Libing (13612429600); Yu, Haiguan (57300055700); Jin, Juliang (55821195600); Hu, Yanan (57221203540); Cui, Yi (56697717500); Wu, Chengguo (55750945600)","13612429600; 57300055700; 55821195600; 57221203540; 56697717500; 55750945600","Evaluation and optimal regulation of spatial equilibrium of water resources in large irrigation area based on connection number; [基于联系数的大型灌区水资源空间均衡评价与优化调控]","2021","Shuili Xuebao/Journal of Hydraulic Engineering","52","9","","1011","1023","6","10.13243/j.cnki.slxb.20210139","https://www.scopus.com/pages/publications/85117340247?origin=resultslist","The spatial equilibrium evaluation and regulation of regional water resources is the important technical basis and scientific management method of development and utilization of water resources coordinated with economic and ecological environment development. The amount of water demand and supply respectively are comprehensive indicators of natural resource conditions and economic and social activities on water resources, of which the balance relationship can directly reveal the unit supply-demand equilibrium degree and spatial equilibrium degree of water resources system. In this paper a method for evaluating the spatial equilibrium degree of regional water resources is proposed on the basis of the relationship between water supply-demand and seven-element connection number, at the meantime an evaluation and regulation study is carried out in the water resources system of large irrigation area. Firstly, the water resource system supply-demand equilibrium degree of each unit (county or city) is defined and calculated by the ratio of supply and demand difference to total supply and demand. Then, a comprehensive evaluation method based on the seven-element connection number is constructed, and the evaluation and comparative analysis of the spatial equilibrium degree of water resources system with and without water resources configuration within the system are carried out. Then, the amount of water demand and supply in the long-term planning year (2035) is forecast. On this basis, the evaluation and calculation of the unit equilibrium degree of water resources in each county or city and the overall water resource spatial equilibrium degree of water resources system of irrigation area are carried out in 2035. Finally, the optimal regulation scheme to improve the spatial equilibrium of water resources in irrigation area are put forward. The results show that in the current level year, the spatial equilibrium degree value of the Pihe Irrigation Area has been significantly improved after the allocation of water resources in the system. Under different inflow conditions in the long-term planning year, the contradiction between supply and demand of water resources is more acute, which can be solved by the water resources configuration from multiple sources within and outside the sys- tem on the basis of mighty water saving. This study shows that the evaluate method of supply-demand equilibrium degree of water resources can express the disequilibrium of regional water shortage and excess water, so it can be widely applied to various situations. The improved seven-element connection number evaluation model can describe the uncertainty of complex water resources system in more detail, and provide a new way to accurately identify the spatial equilibrium state of regional water resources system. Due to the difference of the condition of nature and economic society, the equilibrium degree of water resources of different counties and cities are obviously different in a same large irrigation area. The optimal allocation of water resources among units in the system and the allocation of multiple external water sources, can effectively improve the spatial equilibrium degree, which plays an important role in promoting the coordinated development of water resources and economic society and ensuring the smooth implementation of regional long-term planning. © 2021, China Water Power Press. All right reserved.","Comprehensive evaluation; Large irrigation area; Optimal regulation; Relationship between supply and demand; Seven-element connection number; Spatial equilibrium; Water resource system","Economics; Water conservation; Water management; Water supply; Comprehensive evaluation; Connection number; Irrigation area; Large irrigation area; Optimal regulation; Relationship between supply and demand; Seven-element connection number; Spatial equilibrium; Water resources systems; Waters resources; Irrigation","Article","Final","","Scopus","2-s2.0-85117340247"
"Muanda C.; Goldin J.; Haldenwang R.","Muanda, C. (57218197394); Goldin, J. (24448034700); Haldenwang, R. (13908370400)","57218197394; 24448034700; 13908370400","Challenges and solutions for the eradication of sanitation backlogs in the policy context of Free Basic Sanitation","2021","International Journal of Biological and Chemical Sciences","15","7","","1","9","0","10.4314/ijbcs.v15i7.1S","https://www.scopus.com/pages/publications/85175639536?origin=resultslist","Despite the constitutional obligation for municipalities to provide Free Basic Sanitation (FBSan) services to all, many people living in informal settlements in South Africa are still lacking access to adequate sanitation facilities. This study used qualitative methods to examine challenges and identify solutions for the eradication of sanitation backlogs in informal settlement of South Africa in the policy context of the FBSan. Findings suggest that the disconnection between the policy and its application in practice has created a deep divide between the service providers and consumers as recipients of the services. Consumers’ perceptions and expectations are a major barrier to the acceptance of the sanitation services provided by municipalities, often resulting in violent protests. Service providers face challenges when addressing the disjuncture between what people aspire to and what is possible in providing sanitation services. These findings infer that consumers’ needs, sanitation practices and settlement conditions should be thoroughly examined prior to the selection and deployment of sanitation facilities in informal settlements. Consumers should be engaged and involved in the choice of sanitation technologies and facilities. Such engagement should evolve around various sanitation technologies and facilities applicable to the nature and context of informal settlements, so as to address negative perceptions, attitudes and behavior concerning services provided by municipalities. Addressing challenges related to the eradication of the sanitation backlogs in the policy context of FBSan services needs to be grounded in the clarification of sanitation policy, a deep understanding of consumers’ needs, challenges and practices as well as settlements conditions, coupled with meaningful consumers’ participation at various stages of the decision-making process and coordination amongst institutions involved. Municipalities need to engage all stakeholders (mainly consumers) in order to ensure that the selected infrastructure and service level deployed are consensual. Unless subjective clauses of the FBSan policy are clarified, monitoring, enforcement and accountability mechanisms established and implemented and, consumers are engaged in the decision making processes, the eradication of sanitation backlogs in informal settlements as currently planned may not materialize. © 2021 International Formulae Group. All rights reserved.","Backlog; challenges; consumers; free basic sanitation; informal settlement; policy","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85175639536"
