"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Conrad C.; Machwitz M.; Schorcht G.; Löw F.; Fritsch S.; Dech S.","Conrad, Christopher (7102811204); Machwitz, Miriam (16234359000); Schorcht, Gunther (26534829800); Löw, Fabian (48661217200); Fritsch, Sebastian (36659339700); Dech, Stefan (6701611146)","7102811204; 16234359000; 26534829800; 48661217200; 36659339700; 6701611146","Potentials of RapidEye time series for improved classification of crop rotations in heterogeneous agricultural landscapes: Experiences from irrigation systems in Central Asia","2011","Proceedings of SPIE - The International Society for Optical Engineering","8174","","1","","","9","10.1117/12.898345","https://www.scopus.com/pages/publications/80455143186?origin=resultslist","In Central Asia, more than eight Million ha of agricultural land are under irrigation. But severe degradation problems and unreliable water distribution have caused declining yields during the past decades. Reliable and area-wide information about crops can be seen as important step to elaborate options for sustainable land and water management. Experiences from RapidEye classifications of crop in Central Asia are exemplarily shown during a classification of eight crop classes including three rotations with winter wheat, cotton, rice, and fallow land in the Khorezm region of Uzbekistan covering 230,000 ha of irrigated land. A random forest generated by using 1215 field samples was applied to multitemporal RapidEye data acquired during the vegetation period 2010. But RapidEye coverage varied and did not allow for generating temporally consistent mosaics covering the entire region. To classify all 55,188 agricultural parcels in the region three classification zones were classified separately. The zoning allowed for including at least three observation periods into classification. Overall accuracy exceeded 85 % for all classification zones. Highest accuracies of 87.4 % were achieved by including five spatiotemporal composites of RapidEye. Class-wise accuracy assessments showed the usefulness of selecting time steps which represent relevant phenological phases of the vegetation period. The presented approach can support regional crop inventory. Accurate classification results in early stages of the cropping season permit recalculation of crop water demands and reallocation of irrigation water. The high temporal and spatial resolution of RapidEye can be concluded highly beneficial for agricultural land use classifications in entire Central Asia. © 2011 SPIE.","Central asia; Classification concepts; Crop mapping; Field-based classification; Irrigated agriculture; RapidEye; Time series","Decision trees; Ecosystems; Hydrology; Irrigation; Remote sensing; Rotation; Time series; Vegetation; Water management; Water supply; Water supply systems; Central Asia; Crop mapping; Field-based classification; Irrigated agriculture; RapidEye; Crops","Conference paper","Final","","Scopus","2-s2.0-80455143186"
"Fullerton Jr. T.M.; Molina Jr. A.L.","Fullerton Jr., Thomas M. (7003566011); Molina Jr., Angel L. (56432171900)","7003566011; 56432171900","Municipal water consumption forecast accuracy","2010","Water Resources Research","46","6","W06515","","","20","10.1029/2009WR008450","https://www.scopus.com/pages/publications/77954408732?origin=resultslist","Municipal water consumption planning is an active area of research because of infrastructure construction and maintenance costs, supply constraints, and water quality assurance. In spite of that, relatively few water forecast accuracy assessments have been completed to date, although some internal documentation may exist as part of the proprietary ""grey literature."" This study utilizes a data set of previously published municipal consumption forecasts to partially fill that gap in the empirical water economics literature. Previously published municipal water econometric forecasts for three public utilities are examined for predictive accuracy against two random walk benchmarks commonly used in regional analyses. Descriptive metrics used to quantify forecast accuracy include root-mean-square error and Theil inequality statistics. Formal statistical assessments are completed using four-pronged error differential regression F tests. Similar to studies for other metropolitan econometric forecasts in areas with similar demographic and labor market characteristics, model predictive performances for the municipal water aggregates in this effort are mixed for each of the municipalities included in the sample. Given the competitiveness of the benchmarks, analysts should employ care when utilizing econometric forecasts of municipal water consumption for planning purposes, comparing them to recent historical observations and trends to insure reliability. Comparative results using data from other markets, including regions facing differing labor and demographic conditions, would also be helpful. Copyright © 2010 by the American Geophysical Union.","","Competition; Data flow analysis; Economics; Employment; Error statistics; Maintenance; Public utilities; Quality assurance; Regional planning; Statistical tests; Total quality management; Water pollution; Water quality; Water supply; Active area; Data sets; Econometric forecasts; Forecast accuracy; Grey literature; Historical observation; Infrastructure construction; Labor markets; Maintenance cost; Municipal water; Predictive accuracy; Predictive performance; Random Walk; Regional analysis; Root-mean square errors; Statistical assessment; Supply constraints; Theil inequality; Water forecast; data set; maintenance; regression analysis; water economics; water planning; water quality; water resource; water supply; Forecasting","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-77954408732"
"Ako Ako A.; Shimada J.; Eyong G.E.T.; Fantong W.Y.","Ako Ako, Andrew (27567465000); Shimada, Jun (35234750500); Eyong, Gloria Eneke Takem (36025294300); Fantong, Wilson Yetoh (57214863095)","27567465000; 35234750500; 36025294300; 57214863095","Access to potable water and sanitation in Cameroon within the context of Millennium Development Goals (MDGS)","2010","Water Science and Technology","61","5","","1317","1339","25","10.2166/wst.2010.836","https://www.scopus.com/pages/publications/77952485075?origin=resultslist","Cameroon has been fully engaged with the Millennium Development Goals (MDGs) since their inception in 2000. This paper examines the situation of access to potable water and sanitation in Cameroon within the context of the Millennium Development Goals (MDGs), establishes whether Cameroon is on the track of meeting the MDGs in these domains and proposes actions to be taken to bring it closer to these objectives. Based on analyzed data obtained from national surveys, government ministries, national statistical offices, bibliographic research, reports and interviews, it argues that Cameroon will not reach the water and sanitation MGDs. While Cameroon is not yet on track to meet the targets of the MDGs for water and sanitation, it has made notable progress since 1990, much more needs to be done to improve the situation, especially in rural areas. In 2006, 70% of the population had access to safe drinking water and the coverage in urban centres is 88%, significantly better than the 47% in rural areas. However, rapid urbanization has rendered existing infrastructure inadequate with periurban dwellers also lacking access to safe drinking water. Sanitation coverage is also poor. In urban areas only 58% of the population has access to improved sanitation facilities, and the rate in rural areas is 42%. Women and girls shoulder the largest burden in collecting water, 15% of urban and 18% rural populations use improved drinking water sources over 30 minutes away. Cameroon faces the following challenges in reaching the water and sanitation MDGs: poor management and development of the resources, coupled with inadequate political will and commitment for the long term; rapid urbanization; urban and rural poverty and regulation and legislative lapses. The authors propose that: bridging the gap between national water policies and water services; recognizing the role played by Civil Society Organizations (CSOs) in the attainment of MDGs; developing a Council Water Resource Management Policy and Strategy (CWARMPS); organizing an institutional framework for the water and sanitation sector as well as completion and implementation of an Integrated Water Resources Management (IWRM) plan, would bring Cameroon closer to the water and sanitation MDGs. © IWA Publishing 2010.","Access; Cameroon; Millennium Development Goals; Potable water; Sanitation","Cameroon; Developing Countries; Female; Geography; Health Planning; Health Status Indicators; Humans; Male; Politics; Rural Population; Sanitation; Urban Population; Water; Water Purification; Water Supply; Cameroon; Laws and legislation; Rural areas; Sanitation; Water management; drinking water; Cameroon; Civil society; Drinking water sources; Institutional framework; Integrated water resources management; Long term; Millennium development goals; National statistical offices; National Water Policy; Periurban; Rural population; Rural poverty; Safe drinking water; Urban areas; Water service; Waterresource management; drinking water; Millenium Development Goal; sanitation; urbanization; water management; water resource; water supply; water treatment; article; Cameroon; environmental planning; environmental protection; environmental sanitation; health care delivery; health care policy; interview; poverty; rural area; social behavior; social security; social structure; urban area; urbanization; water availability; water management; water quality; water supply; Potable water","Article","Final","","Scopus","2-s2.0-77952485075"
"Zhang M.; Zhang C.; Wang K.; Yue Y.; Qi X.; Fan F.","Zhang, Mingyang (57219085600); Zhang, Chunhua (55617190200); Wang, Kelin (12240170600); Yue, Yuemin (35075437100); Qi, Xiangkun (36994036200); Fan, Feide (57213486522)","57219085600; 55617190200; 12240170600; 35075437100; 36994036200; 57213486522","Spatiotemporal variation of karst ecosystem service values and its correlation with environmental factors in Northwest Guangxi, China","2011","Environmental Management","48","5","","933","944","33","10.1007/s00267-011-9735-z","https://www.scopus.com/pages/publications/84860422903?origin=resultslist","In this investigation we analyzed the spatiotemporal variation of ecosystem service values (ESVs) and its correlation with numerous environmental factors (EFs) for the karst region of Northwest Guangxi, China, from 1985 to 2005 using remote sensing, geographic information systems (GIS) and statistical techniques. The results indicate that historically ESVs for this karst region decreased from 1985 (109.652 billion Yuan) to 1990 (88.789 billion Yuan) and then increased at the turn of the twenty-first century. However, the ESVs in both 2000 (103.384 billion Yuan) and 2005 (106.257 billion Yuan) never achieved the level recorded in 1985. The total of nutrient cycling, organic production and gas regulation combined were 72.69, 64.57, 70.18 and 72.10% of ESVs in 1985, 1990, 2000 and 2005, respectively. In contrast, the ESVs of water conservation, soil reservation, recreation and culture were determined to be relatively low contributing only 17.44, 23.82, 19.26 and 24.76% of total ESVs, respectively, during these four years. With regards to the spatial distribution of ESVs, larger values were recorded in the west and smaller ones recorded in the east. The most significant factors that were deemed to influence ESVs are annual rainfall, per capita cropland, slope and vegetation coverage. Annual rainfall and slope exert a negative force, whereas per capita cropland and vegetation coverage exert a positive force on ESVs. The results of the study would suggest that ecosystem conditions of this important karst region have been improved as the result of the implementation of rocky desertification control policies. © 2011 Springer Science+Business Media, LLC.","Canonical correspondence analysis (CCA); Ecosystem service values (ESVs); Environmental factors (EFs); Geographic information systems; Karst; Northwest Guangxi, China; Remote sensing; Spatiotemporal variation","China; Conservation of Natural Resources; Ecosystem; Environment Design; Environmental Monitoring; Geographic Information Systems; Plants, Edible; Rain; Soil; Trees; Water Supply; China; Guangxi Zhuangzu; Climatology; Geographic information systems; Information systems; Landforms; Rain; Remote sensing; Vegetation; Water conservation; rain; Canonical Correspondence Analysis; Ecosystem service values (ESVs); Environmental factors (EFs); Guangxi; Karst; Spatio-temporal variation; canonical analysis; correspondence analysis; desertification; ecosystem service; environmental factor; GIS; karst; remote sensing; spatial distribution; spatiotemporal analysis; statistical analysis; article; China; cropland; desertification; ecosystem; ecosystem service; environmental factor; environmental planning; geographic and geological phenomena; geographic information system; geostatistical analysis; karst; nutrient cycling; organic matter production; remote sensing; vegetation; Ecosystems","Article","Final","","Scopus","2-s2.0-84860422903"
"Hatton MacDonald D.; Morrison M.D.; Barnes M.B.","Hatton MacDonald, Darla (57197724319); Morrison, Mark D. (7201675501); Barnes, Mary B. (57216545399)","57197724319; 7201675501; 57216545399","Willingness to Pay and Willingness to Accept Compensation for Changes in Urban Water Customer Service Standards","2010","Water Resources Management","24","12","","3145","3158","49","10.1007/s11269-010-9599-7","https://www.scopus.com/pages/publications/77956172508?origin=resultslist","In this paper, we explore the use of choice modelling for obtaining implicit prices for attributes associated with changes in the reliability of household water services. While not often estimated in practice, the collection of information about willingness to accept compensation is relevant for utilities as customers often have implicit or explicit property rights for particular levels of customer service. Given ageing infrastructure in many cities, maintaining customer service standards requires large capital expenditures. It may be more economically efficient to allow standards to decline in some areas and compensate consumers. Therefore it is useful to understand the value of attributes of water service provision using willingness to accept and how this differs from willingness to pay. We therefore estimate both willingness to accept and willingness to pay measures, and find that respondents value a larger range of attributes using the willingness to accept approach. © 2010 Springer Science+Business Media B.V.","Choice modelling; Price of water; Urban water; Willingness to accept compensation; Willingness to pay","Customer satisfaction; Sales; Standards; Choice modelling; Price of water; Urban waters; Willingness to accept compensation; Willingness to pay; computer simulation; estimation method; numerical model; standard (regulation); water economics; water supply; willingness to pay; Commerce","Article","Final","","Scopus","2-s2.0-77956172508"
"Brunner N.; Essl L.; Gounden T.; Mbatha S.; Ngubane N.; Starkl M.","Brunner, N. (7102739618); Essl, L. (55115892300); Gounden, T. (24468156600); Mbatha, S. (55116305600); Ngubane, N. (55113059000); Starkl, M. (6506320828)","7102739618; 55115892300; 24468156600; 55116305600; 55113059000; 6506320828","Are roof tanks pro-poor service levels? A case study from eThekwini (Durban), South Africa","2010","Proceedings of the 3rd IASTED African Conference on Water Resource Management, AfricaWRM 2010","","","","9","13","2","10.2316/p.2010.686-043","https://www.scopus.com/pages/publications/84858660525?origin=resultslist","Sub-Saharan Africa lags behind all other regions in the world concerning water supply with only 58 percent of the population having access to improved water sources. Even though there exists a wide range of technical options for water supply and conservation, limitations of knowhow and skill, management capability, finance and adaptability constrain the implementation of water infrastructure. Municipality of eThekwini (Durban) tried to implement roof-tanks (semi-pressure system) as a propoor water supply service level. However, there were frequent problems observed with paying and correctly using this service level (illegally this service level was often upgraded to a full pressure system), which showed that people were not satisfied with it. The general perception of roof tanks as inferior, which does not acknowledge the benefits of the roof tanks, have been identified as a main reason for their failure. The lacking enforcement of the tariff-regulations have in addition led to unfairness: Users with full pressure pay less than those with semi-pressure, large household (that may use more water) pay not significantly more, than small ones. In the success case of semi-pressure, user education had a significant impact.","Affordability; Sustainability; Tariffs; Townships; Water supply","Resource allocation; Roofs; Sustainable development; Tanks (containers); Technology transfer; Water management; Affordability; Management capabilities; Sub-saharan africa; Tariff regulation; Tariffs; Townships; Water infrastructure; Water supply services; Water supply","Conference paper","Final","","Scopus","2-s2.0-84858660525"
"Buckley R.M.","Buckley, Robert M. (7201433149)","7201433149","Social inclusion in Mumbai: Economics matters too","2011","Environment and Urbanization","23","1","","277","284","5","10.1177/0956247811398585","https://www.scopus.com/pages/publications/79954503357?origin=resultslist","This paper questions the accuracy and validity of the criticisms made by Ananya Roy regarding the approach to community development of a Mumbai-based NGO, SPARC, and its partner grassroots federations in Mumbai. This includes the suggestion that the focus on sanitation rather than on land tenure is an appeal to middle-class values about cleanliness and that their support for relocating those who lived right next to the railway tracks made them agents of the state. When viewed through a demand-responsive economic perspective, SPARC's support for community toilets was in response to what grassroots organizations asked for, and these also have high returns. Similarly, SPARC's support for resettlement for those living alongside the railway tracks was for those who were going to be moved, and this support allowed them to have far more influence on where, when and how the resettlement took place. Here too, the high returns from faster, safer trains meant cost savings that were higher than the costs of providing good quality accommodation for those who had to move. © 2011 International Institute for Environment and Development (IIED).","community development; congested public goods; NGO; resettlement; sanitation; social inclusion; targeted subsidies","India; Maharashtra; Mumbai; community development; grassroots level; human settlement; nongovernmental organization; public goods; sanitation; social inclusion; subsidy system","Article","Final","","Scopus","2-s2.0-79954503357"
"Vibhu N.; James A.J.","Vibhu, Nayar (36183109200); James, A.J. (59841134800)","36183109200; 59841134800","Policy insights on user charges from a rural water supply project: A counter-intuitive view from South India","2010","International Journal of Water Resources Development","26","3","","403","421","6","10.1080/07900627.2010.491973","https://www.scopus.com/pages/publications/77954849870?origin=resultslist","When government engineers work closely with rural communities to raise awareness of water as a scarce resource, greater community ownership results and water supply service delivery and user charge collections improve. This runs counter to the conventional hypothesis that (higher) user charges lead to more finances and hence, improved service delivery. More sustainable service delivery results when engineers adopt a non-prescriptive and flexible approach and work with communities-rather than impose targets of 100% collection of operation and maintenance costs from the outset, as is done widely. The key is attitudinal change, driven in this case by democratization of governance undertaken along with engineers in the south Indian state of Tamil Nadu. © 2010 Taylor & Francis.","","India; Tamil Nadu; Engineers; Maintenance; Water supply; Water supply systems; Charge collection; Community ownership; Operation and maintenance; Rural community; Rural water supply; Scarce resources; Service delivery; South India; Sustainable services; Tamil Nadu; Water supply services; governance approach; policy analysis; resource scarcity; rural area; sustainable development; water management; water supply; water use; Water resources","Article","Final","","Scopus","2-s2.0-77954849870"
"Olsson J.","Olsson, Jerry (56270357800)","56270357800","Road investment as enabling local economic development? Evidence from a rural Philippine fishing village","2010","Singapore Journal of Tropical Geography","31","3","","343","356","5","10.1111/j.1467-9493.2010.00407.x","https://www.scopus.com/pages/publications/78349259332?origin=resultslist","This paper investigates how efforts to achieve local economic growth conflicted with long-term sustainable resource use when road accessibility was improved between a supply area - the households and household firms in a Philippine fishing village, Dinahican, previously hampered by very poor transport conditions and accessibility - and its major marketFindings indicate that improved road access to big fish markets stimulated investment in production enhancing inputs, which allowed increased fish landings and sales outside Dinahican, together with employment and incomesAt the same time, poorly implemented fisheries resource management resulted in overfishing in municipal waters and obvious disparities in access to productive resourcesThus, while road investment in relatively inaccessible rural resource rich areas may spur economic development as an underutilized production potential is released, it can facilitate resource depletion and intensify an unequal distribution of benefits if the enforcement of laws and regulations is lackingIn the case of Dinahican, coordination between infrastructure supply and the implementation and enforcement of fisheries resource management is found to be urgently needed. © 2010 The AuthorSingapore Journal of Tropical Geography © 2010 Department of Geography, National University of Singapore and Blackwell Publishing Asia Pty Ltd.","Accessibility; Development effects; Economic opportunity; Fisheries resource management; Overfishing; Road investment","Philippines; accessibility; fishery management; fishery production; fishing community; overfishing; policy implementation; resource development; road; rural development; rural planning","Article","Final","","Scopus","2-s2.0-78349259332"
"Kayaga S.; Fisher J.; Franceys R.","Kayaga, Sam (6506196538); Fisher, Julie (57067324100); Franceys, Richard (6602406987)","6506196538; 57067324100; 6602406987","Improved access to urban water services in Uganda","2009","Proceedings of the Institution of Civil Engineers: Municipal Engineer","162","3","","165","170","9","10.1680/muen.2009.162.3.165","https://www.scopus.com/pages/publications/77957711923?origin=resultslist","According to a 2004 Unicef/World Health Organization assessment, developing countries are more likely to achieve the millennium development goal (MDG) drinking water target in urban than in rural areas. However, this achievement is threatened by a high urbanization rate in developing countries, where the urban population is projected to increase by about two billion between 2000 and 2030. For instance, although the global urban population with adequate water service levels increased in real terms by 36% between 1990 and 2004, overall coverage has remained practically unchanged at 95%. Given these high urbanisation rates, water utilities in developing countries need to be innovative in order to improve or maintain service coverage in their service areas. This paper presents the case of the National Water and Sewerage Corporation (NWSC) of Uganda, which has improved service coverage tremendously over the past decade through innovative management. Between 1998 and 2007, NWSC registered the following key performance improvements: number of service connections from 54 000 to over 180 000; service coverage from 51% to 71% of the population; towns served from 12 to 22; billing efficiency from 51% to 67.5%. The paper describes the specific measures that have contributed to this high performance improvement.","Developing countries; Management; Water supply","Uganda; Developing countries; Electric utilities; Population statistics; Rural areas; Water resources; Water supply; Adequate waters; Drinking water; Health organizations; Millennium development goals; Number of services; Performance improvements; Service area; Urban population; Urban water services; Water utility; developing world; drinking water; Millenium Development Goal; performance assessment; public service; urban planning; urbanization; water management; water supply; Potable water","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-77957711923"
