"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Li J.; Elahi E.; Peng C.; Wu A.; Cao F.; Wang J.; Abro M.I.; Khalid Z.","Li, Jiaqi (59450219500); Elahi, Ehsan (57189502983); Peng, Cheng (57788357200); Wu, Aimin (58139540100); Cao, Fengtong (58139324900); Wang, Jian (59538337000); Abro, Mohammad Ilyas (57207346126); Khalid, Zainab (57513540700)","59450219500; 57189502983; 57788357200; 58139540100; 58139324900; 59538337000; 57207346126; 57513540700","Correction to: The Opening of High-Speed Railway and Coordinated Development of the Core–Periphery Urban Economy in China (Sustainability, (2023), 15, 5, (4677), 10.3390/su15054677)","2025","Sustainability (Switzerland)","17","3","944","","","0","10.3390/su17030944","https://www.scopus.com/pages/publications/85216677941?origin=resultslist","The authors would like to make the following corrections about the published paper [1]. The changes are as follows: Deleting the references. Deleting the references. Readers noticed that there are unjust references cited in this paper. After checking with the Editorial Board, the authors decided to delete References [30–40]. Ahmed, U.; Ying, L.; Bashir, M.; Abid, M.; Elahi, E.; Iqbal, M. Access to output market by small farmers: The case of Punjab, Pakistan. J. Anim. Plant Sci. 2016, 26, 787–793. Peng, B.; Chen, H.; Elahi, E.; Wei, G. Study on the spatial differentiation of environmental governance performance of Yangtze river urban agglomeration in Jiangsu province of China. Land Use Policy 2020, 99, 105063. Zhao, X.; Peng, B.; Elahi, E.; Zheng, C.; Wan, A. Optimization of Chinese coal fired power plants for cleaner production using Bayesian network. J. Clean. Prod. 2020, 273, 122837. Zhao, Y.; Peng, B.; Elahi, E.; Wan, A. Does the extended producer responsibility system promote the green technological innovation of enterprises? An empirical study based on the differenc-in-differences model. J. Clean. Prod. 2021, 319, 128631. Zhong, Z.; Peng, B.; Xu, L.; Andrews, A.; Elahi, E. Analysis of regional energy economic efficiency and its influencing factors: A case study of Yangtze River urban agglomeration. Sustain. Energy Technol. Assess. 2020, 41, 100784. Altangerel, O.; Ruimei, W.; Elahi, E.; Dash, B. Investigating the effect of job stress on performance of employees. Int. J. Sci. Technol. Res. 2015, 4, 276–280. Elahi, E.; Khalid, Z. Estimating smart energy inputs packages using hybrid optimization technique to mitigate environmental emissions of commercial fish farms. Appl. Energy 2022, 326, 119602. Elahi, E.; Khalid, Z.; Tauni, M.Z.; Zhang, H.; Lirong, X. Extreme weather events risk to crop-production and the adaptation of innovative management strategies to mitigate the risk: A retrospective survey of rural Punjab, Pakistan. Technovation 2022, 117, 102255. Elahi, E.; Zhang, L.; Abid, M.; Javed, M.T.; Xinru, H. Direct and indirect effects of wastewater use and herd environment on the occurrence of animal diseases and animal health in Pakistan. Environ. Sci. Pollut. Res. 2017, 24, 6819–6832. Elahi, E.; Zhang, Z.; Khalid, Z.; Xu, H. Application of an artificial neural network to optimise energy inputs: An energy-and cost-saving strategy for commercial poultry farms. Energy 2022, 244, 123169. Scaringella, L.; Chanaron, J.J. Grenoble–GIANT Territorial Innovation Models: Are investments in research infrastructures worthwhile? Technol. Forecast. Soc. Change 2016, 112, 92–101. Replacing the following sentence in “Section 3.1. Model Construction” “where GAPit represents the level of coordinated regional development of city i in year t. The variable HSRit is the dummy variable for whether city i opens a high-speed railway in year t. Controls represents the control variable. μi and νt are the fixed effects of city and year, respectively. εit is the random error term assumed to be normally distributed at zero mean value (Ahmed et al., 2016 [30]; Peng et al., 2020 [31]; Zhao et al., 2020; Zhao et al., 2021; Zhong et al., 2020 [32–34]) and constant variance (Altangerel et al., 2015 [35]; Elahi and Khalid, 2022 [36]; Elahi, Khalid, et al., 2022 [37]; Elahi et al., 2017 [38]; Elahi, Zhang, et al., 2022 [39]; Scaringella and Chanaron, 2016 [40]).” with “where GAPit represents the level of coordinated regional development of city i in year t. The variable HSRit is the dummy variable for whether city i opens a high-speed railway in year t. Controls represents the control variable. μi and νt are the fixed effects of city and year, respectively. εit is the random error term assumed to be normally distributed at zero mean value and constant variance.” Modifying the authors’ names. Replacing the names of Peng Cheng and Wang Jian to Cheng Peng and Jian Wang. The author’s initials also need to be modified. The authors state that the scientific conclusions are unaffected. This correction was approved by the Academic Editor. The original publication has also been updated. © 2025 by the authors.","","","Erratum","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85216677941"
"Angmor E.","Angmor, Emmanuel (55653600300)","55653600300","Including Women in Community Water Governance: Implications for Gender-Sensitive Community Resilience Planning","2025","Planning for Resilient Small and Medium-Sized Cities in Ghana","","","","162","176","0","10.4324/9781003641612-13","https://www.scopus.com/pages/publications/105020105610?origin=resultslist","The study examined the inclusion of women in community water governance for gender-sensitive community resilience planning in the Akuapem North Municipality, focusing on Tinkong, Saforo, Otwitiri, and Mangoase communities. A mixed-methods approach was adopted, involving 181 participants, with data collected through interviews and focus group discussions (FGDs). The findings revealed challenges in forming Water and Sanitation Management Teams (WSMTs). While community members understood the responsibilities of the WSMTs, some WSMTs did not meet the required female representation. Additionally, the WSMTs were excluded from creating the District Water and Sanitation Plan. These issues pose significant challenges to the resilience of community water infrastructure. The study recommends enforcing the requirement for female representation and ensuring that the required procedures are followed when forming water governance committees at the community level. © 2026 selection and editorial matter, Stephen Kofi Diko, Seth Asare Okyere, Stephen Leonard Mensah and Louis Kusi Frimpong.","","Sanitation; Zoning; Community resiliences; Focus groups; Group discussions; Management team; Mixed method; Sanitation management; Water governance; Water infrastructure; Waters managements; Human resource management","Book chapter","Final","","Scopus","2-s2.0-105020105610"
"Hossein M.; Makaye A.; Dadi S.; Ripanda A.; Rwiza M.J.; Nyanza E.C.; Njau K.N.; Vuai S.H.; Machunda R.L.; Mahmoud A.E.D.","Hossein, Miraji (57194196783); Makaye, Angelina (60155518200); Dadi, Sharifa (60155478900); Ripanda, Asha (57219866347); Rwiza, Mwemezi J. (57189029129); Nyanza, Elias C. (56124405300); Njau, Karoli N. (6603118433); Vuai, Said Hamadi (35782230200); Machunda, Revocatus L. (35079020700); Mahmoud, Alaa El Din (60627098200)","57194196783; 60155518200; 60155478900; 57219866347; 57189029129; 56124405300; 6603118433; 35782230200; 35079020700; 60627098200","Opportunities and adoptive challenges of pharmaceuticals and personal care products in wastewater treatment schemes in developing countries","2025","Advanced Oxidation Process-Based Integrated and Hybrid Technologies for Degradation of Pharmaceuticals and Personal Care Products","","","","377","398","1","10.1016/B978-0-443-21887-3.00024-9","https://www.scopus.com/pages/publications/105019745932?origin=resultslist","Water demand and its use has increased across the globe due to increases in economic activities, human population, and recreational activities. Even though people do live with water, individuals do not have access to sufficient safe and protected water. The occurrence of pharmaceuticals and personal care products (PPCPs) in surface water led to potential health risks to human and environmental health. There is a need to remediate PPCPs from wastewater before releasing them into water bodies. This is challenged as treatment and recycling schemes in developing countries either lack the design or have inadequate capacity for the removal of PPCPs and other pollutants, amplifying the problem. The mostly employed schemes include waste stabilization ponds, aerobic digestion, and wetlands for the polishing stage, and or their combinations are lacking design for the effective. Inevitably, there is a need for innovation and improvement of wastewater treatment schemes to incorporate the remediation of PPCPs and other pollutants in developing countries to ensure ecological safety. However, innovation and adoption of the advanced treatment technologies come with a set of challenges including limited financial resources, inadequate infrastructure, and technical expertise. Additionally, PPCPs are diverse and in the environment occur as complex mixtures, coupled with a lack of standardized regulations, create significant challenges for implementing effective monitoring and control strategies. These challenges need a holistic approach integrating innovative technologies feasible in the region, research, capacity building, technology transfer, and international collaborations. Further, strengthened institutional frameworks and establishing regulatory frameworks specific to emerging pollutants including PPCPs are needed. Therefore, the current chapter exploits the opportunities and challenges of wastewater treatment schemes in developing countries to improve ecological safety. © 2025 Elsevier Inc. All rights reserved.","Advanced treatment; Aquatic pollution; Hybrid techniques; Pharmaceuticals and personal care products; Remediation of pharmaceuticals and personal care products","Economics; Environmental remediation; Health risks; Laws and legislation; Remediation; Surface waters; Technology transfer; Wastewater treatment; Advanced treatment; Aquatic pollution; Ecological safety; Economic activities; Human population; Hybrid techniques; Pharmaceutical and personal care products; Remediation of pharmaceutical and personal care product; Water demand; Developing countries","Book chapter","Final","","Scopus","2-s2.0-105019745932"
"Dey S.; Sen K.; Saha S.; Saha N.C.; Snow D.D.; Hossain M.Y.","Dey, Sukhendu (57194574346); Sen, Kamalesh (57192592554); Saha, Shubhajit (57223249239); Saha, Nimai Chandra (55108195200); Snow, Daniel D. (7103259215); Hossain, Md. Yeamin (16042589800)","57194574346; 57192592554; 57223249239; 55108195200; 7103259215; 16042589800","Safeguarding Aquatic Ecosystems: Innovations in Water Resource Management","2025","Climate Change Management","Part F17","","","117","130","2","10.1007/978-3-031-77957-2_8","https://www.scopus.com/pages/publications/85218037114?origin=resultslist","Sustainable development necessitates the comprehensive management of water resources in light of diminishing supply and increasing demand. This review examines new developments in methods, instruments, and policies to deal with issues brought on by population expansion, urbanization, and climate change. It starts by looking at water conservation techniques, such as leak detection devices, intelligent irrigation systems, and rainwater harvesting, which maximize home, commercial, and agricultural usage and support water sustainability. It discusses advanced technologies in wastewater treatment, like membrane filtration and decentralized systems, improving water quality and enabling the reuse of treated wastewater. This review highlights innovative approaches to governance and policy, such as integrated frameworks and stakeholder engagement strategies, ensuring equitable resource allocation. Additionally, it investigates how artificial intelligence, remote sensing, and data analytics may improve water management techniques by enabling real-time monitoring and predictive modelling for well-informed decision-making. Integration and innovation are crucial for addressing water scarcity, pollution, and access disparities and building resilient water systems for present and future generations. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Conservation; Stakeholder engagement; Sustainability; Treatment; Water resource management","","Book chapter","Final","","Scopus","2-s2.0-85218037114"
"Jyoti; Jain P.; Chaudhary M.; Gupta V.K.; Vidisha; Tomar A.","Jyoti (59371754600); Jain, Paras (57659447500); Chaudhary, Mohit (60054872100); Gupta, Vishan Kumar (56973059300); Vidisha (57221912485); Tomar, Ankit (57169974000)","59371754600; 57659447500; 60054872100; 56973059300; 57221912485; 57169974000","Progressing Towards the Sustainable Development Goal: Evaluating India's Clean Water and Sanitation Policies","2025","IEEE International Conference on Next Generation Information System Engineering, NGISE 2025","","","","","","1","10.1109/NGISE64126.2025.11085261","https://www.scopus.com/pages/publications/105013682446?origin=resultslist","In 2019, India reached the milestone of being declared open defecation-free, which contributes significantly towards the achievement of SDG 6 on clean water and sanitation. This article examines how India has aligned with SDG 6 through transformative interventions such as the Swachh Bharat Mission (SBM) and Jal Jeevan Mission (JJM), with a focus on their impact on improving access to safe drinking water and sanitation facilities across states and Union Territories. The analysis identifies some key drivers including resilient institutional arrangements, substantial investments needed for water security, and effective community participation in the process that have empowered local communities to take charge of their lives. However, within social-economic complexities and climate change implications, sustainability issues are ongoing challenges thereby requiring enhanced regulatory frameworks, integrated governance systems as well as climate-sensitive infrastructure investments. A combination of comprehensive research together with data driven decisions is important for sustaining achievements made so far and advancing towards the full realization of all aspects of SDG 6 by 2030. It was also revealed that there are linkages between this goal (SDG6) with other development objectives while stressing over the role played by new technologies plus multi-stakeholder engagement in sustainable water. © 2025 IEEE.","clean water; Jal Jeevan Mission; sanitation; SDG 6; Sustainable development; Swachh Bharat Mission","Climate change; Economics; Investments; Sustainable development goals; Clean waters; Community participation; Institutional arrangement; Jal jeevan mission; Local community; Safe drinking water; SDG 6; Substantial investments; Swachh bharat mission; Water security; Sustainable development","Conference paper","Final","","Scopus","2-s2.0-105013682446"
"Maadji R.; Tamoreka A.; Amir A.N.S.","Maadji, Rizaldi (57205323880); Tamoreka, Amirudin (60241684000); Amir, Andi Nur Syamsy (60241684100)","57205323880; 60241684000; 60241684100","ARTIFICIAL SPRINGS AS AN UNCONVENTIONAL WATER SOURCE AND AN ALTERNATIVE FOR RECLAMATION OF MINING ENVIRONMENTS","2025","Proceedings of the IAHR World Congress","","","","2177","2182","0","10.64697/978-90-835589-7-4_41WC-P1783-cd","https://www.scopus.com/pages/publications/105024960814?origin=resultslist","The plantation managed by the local Saluan Kintom community in the Banggai Regency is located on hills that rely on natural springs at the bottom of the valley with an elevation above 50 meters. This condition requires high costs to lift and pump the water. This is a common problem in the development of water resources in hilly areas. Topographic limitations such as steep slopes and frequent landslides, prevent the creation of canal networks and make groundwater exploitation impossible. Therefore, increasing water demand can be met to a greater extent through the adoption of rainwater harvesting technology. This technology is recommended for hilly areas where artificial springs are located at higher altitudes than the service area so that water can be channeled through pipes by gravity. Artificial springs are unconventional water sources, carried out by capturing rainfall, which becomes surface runoff that seeps in or fills artificial reservoirs/aquifers. The reservoir in question is an earth excavation that is given a waterproof layer of Polyethylene (PE) and then backfilled. Reservoir conditions mimic the natural conditions of an aquifer, where the bottom and sides are an aquitard layer (impermeable stratum). The dimensions of the reservoir are adjusted to the discharge capacity to be channeled and the reliability of the artificial spring for several months in a row if there is no rain. The construction of this artificial spring reservoir can be applied to reclaim ex-mining land. Apart from being able to be restored, this area can also have artificial springs that can be used as a water source for plantations by Village-Owned Enterprises (Bumdes) or even Regional Drinking Water Companies (PDAM) that provide clean water or drinking water services for the community. © 2025 IAHR – International Association for Hydro-Environment Engineering and Research.","artificial springs; mining reclamation; rain harvesting","","Conference paper","Final","","Scopus","2-s2.0-105024960814"
"Mabhaudhi T.; Dirwai T.L.; Taguta C.; Nhamo L.; Kanda E.K.; Cofie O.","Mabhaudhi, Tafadzwanashe (39661246400); Dirwai, T.L. (57204660879); Taguta, C. (57580226300); Nhamo, L. (56816950000); Kanda, E.K. (56669529700); Cofie, O. (6506609515)","39661246400; 57204660879; 57580226300; 56816950000; 56669529700; 6506609515","A Systematic Review of Irrigation Development and Agricultural Water Management in Mali","2025","Enhancing Water and Food Security Through Improved Agricultural Water Productivity: New Knowledge, Innovations and Applications","","","","299","340","2","10.1007/978-981-96-1848-4_14","https://www.scopus.com/pages/publications/105024390789?origin=resultslist","Rain-fed and irrigated agriculture are key to economic growth, job creation, food security, and livelihoods across Africa. Agriculture in Mali is mainly rain-fed and thus vulnerable to the country’s fluctuating climate, which undermines crop production and productivity. The PRISMA protocol and SPIDER framework were used to systematically review Mali’s irrigation development and agricultural water management. Mali invested in irrigated agriculture across scales to decouple agriculture from unreliable rainfall, but the potential for expansion still exists. The Malian government also developed several policies to create an enabling environment that promotes agricultural water management (AWM). Farmers employ various agricultural water management practices to control and conserve water and soil. In line with the African Union irrigation development and agricultural water management (AU-IDAWM) framework, there exists operationalization challenges in Mali. These challenges include weak implementation of policies by authorities and lack of awareness among farmers, to mention a few. Farmers lack access to inputs, technology, extension services and credit. The government lacks the financial capacity to rehabilitate irrigation schemes such as Office du Niger, wherein it politically allocated land to foreign large-scale investors without the involvement of the farmers and the management agency, and this may affect the sustainability of irrigated agriculture. Wastewater irrigation suffers from non-recognition, lack of support from all spheres, and risks to human health and the environment. Thus, the government must revamp policy implementation and utilize alternative financing models to rehabilitate irrigation infrastructure, such as private–public partnerships (PPPs). There is a need to minimize political interference in the allocation of agricultural land in the Office du Niger. Subsidies are needed to support farmers with technology and inputs for irrigation and AWM. Farmers, extension workers, and equipment suppliers must be trained to build their capacity. Wastewater irrigation contributes to food supply, income generation, and livelihoods in peri-urban and urban areas. Thus, this practice must be formalized and supported by policies, guidelines, regulations, standards, and technologies for on-site water treatment and safer irrigation practices. © 2025 The Editor(s) (if applicable) and The Author(s).","Farmer-led irrigation development; Irrigated; Modernization; Policy; Practice; Rain-fed; Wastewater","Agribusiness; Agricultural economics; Crops; Cultivation; Economic analysis; Employment; Environmental management; Food supply; Health risks; Investments; Irrigation; Rain; Urban growth; Agricultural water management; Farmer-lead irrigation development; Irrigated; Irrigated agriculture; Irrigation development; Niger; Practice; Rain-feed; Systematic Review; Wastewater irrigation; Public policy","Book chapter","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105024390789"
"Bello O.A.","Bello, Olalekan A. (58651050100)","58651050100","Enforcing the Right to a Healthy Environment in Natural Resource Impacted Communities: An Assessment of the Scorecard of Nigeria’s Courts’ Enforcement of the African Human Rights Charter","2025","Handbook on Human Rights to a Healthy Environment: International, Regional, and Comparative Pathways for Policy Intervention in Cameroon","","","","791","811","0","10.1007/978-3-032-01532-7_36","https://www.scopus.com/pages/publications/105031021465?origin=resultslist","Since the UN Conference on the Human Environment in Stockholm in 1972, the right to a healthy environment has evolved into a globally accepted legal right with constitutional recognition in over 100 countries, including those from Africa. This right includes the need to live in a secure and sustainable environment and have access to clean water, air, and sanitation. The right has also been recognised by the African Commission and the African Court on Human Rights, and at the sub-regional levels, the ECOWAS Court of Justice. Africa’s natural resources environmentally impacted communities—such as those in Nigeria—experience incessant pollution, contamination, deforestation and habitat destruction, land conflicts, displacement, and negative health impacts, which have made the realisation of the right more important. However, enforcing the African Commission, Court, and the ECOWAS Court’s recommendations and rulings on the right has proven to be a significant challenge over time. Focusing on the jurisprudence of case law on the right to a healthy environment in Nigeria—SERAP v NigeriaSERAP v Nigeria, SERAC v Nigeria, and recent national cases, concerning the right to a healthy environment in Nigeria, this chapter assesses the remit, role, and impact of the African Commission and Court on Human Rights, and the ECOWAS Court in West Africa. It investigates how Nigerian courts have interpreted and enforced the African Human Rights Charter’s environmental rights and the obstacles to full implementation, given that the African Charter on Human and Peoples’ Rights (Ratification and Enforcement) Act has been transposed into national law. This evaluation offers a basis for addressing implementation issues, resource limitations, and the persistent power play of the extractive industries in underwhelming the regime’s efficacy. It offers suggestions for states’ political commitment to ensuring compliance, addressing the effects of environmental degradation, offering remedies, and institutionalisation monitoring and reporting procedures relating to the right to the right. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","African Commission/Court; ECOWAS Court; Enforcement gaps; Environmental right; Natural resources; Sustainability","Environmental monitoring; Environmental regulations; Environmental remediation; International law; Law enforcement; Natural environment; Social aspects; African commission/court; ECOWAS court; Enforcement gap; Environmental rights; Healthy environments; Human environment; Human rights; Legal rights; Nigeria; Stockholm; Sustainable development","Book chapter","Final","","Scopus","2-s2.0-105031021465"
"Reguera A.F.L.","Reguera, Alethia Fernández de la (60333429100)","60333429100","DISGUST AND PUNISHMENT IN IMMIGRATION DETENTION","2025","The Embodied State: Emotions, State Power and Social Marginalisation","","","","103","121","1","10.4324/9781032617060-8","https://www.scopus.com/pages/publications/105027499354?origin=resultslist","I reflect on the relationship between disgust and punishment. As evidenced in Mexico, the Instituto Nacional de Migración commonly creates unhealthy living conditions for detained migrants. Limiting access to water, toiletries and medical services, people on the move are not only dehumanised, but also often subjected to unsanitary conditions as part of their criminalisation and punishment. This chapter addresses the following questions: What is the institutional function of disgust? How does disgust relate to the implicit and explicit forms of punishment in immigration detention? Is disgust a factor determining decisions on immigration regularisation procedures and access to international protection? I argue that on the one hand daily punishment relies on subjugation to filth, making people experience continuously increasing abhorrent living conditions. On the other hand, the perception of migrants as disgusting incentivises punishment as well as authorities’ non-compliance with regulations, including international protection. I analyse narratives of detained migrants, immigration officers, cleaning staff and staff from NGOs providing psycho-legal services in immigration detention centres documented between 2017 and 2020, as part of an institutional ethnography I conducted in Estación Migratoria Siglo XXI (EMSXXI) (Siglo XXI Immigration Station), the country’s largest immigration detention centre. I also include cases documented in 2023 through in-depth interviews with civil society organisations that provide psycho-legal support and assistance to detained people on the move in southern, central and northern Mexico. © 2026 selection and editorial matter, Ana Aliverti, Henrique Carvalho, Anastasia Chamberlen and Simon Tawfic; individual chapters, the contributors. All rights reserved.","","Behavioral research; Condition; Explicit form; Implicit form; Legal services; Living conditions; Me-xico; Medical services; Non-compliance; Regularization procedure; Water service; Laws and legislation","Book chapter","Final","","Scopus","2-s2.0-105027499354"
"Kotiuk I.","Kotiuk, Irmina (57936720100)","57936720100","Antigypsyist exclusion from running water","2025","Intersectionality and Human Rights: Reimagining European Court of Human Rights Judgments","","","","89","113","0","10.4337/9781035356669.00012","https://www.scopus.com/pages/publications/105031473534?origin=resultslist","The right to clean water and sanitation is a fundamental component of the right to a healthy environment. This right should be equally accessible to everyone as a crucial prerequisite for human health. However, the case of Hudorovič and Others v. Slovenia serves as a disheartening example of how racialisation and poverty can deprive people of access to their rights. To fully address the applicants’ factual and legal circumstances, as well as the State's positive obligations towards this particular group, it is crucial to consider Article 8 in conjunction with Article 14 (non-discrimination). Further, the right to clean water is not solely a socio-economic issue; it deeply affects personal life and health, including critical aspects of sexual and reproductive health for women and girls. I also propose to analyse the case under the general prohibition of discrimination enshrined in Article 1 of Protocol 12 to the Convention in the context of the constitutional right to a healthy environment. © The Editors and Contributors Severally 2025. All rights reserved.","Discrimination; Healthy environment; Right to water; Roma; Socio-economic status","Environmental regulations; Information systems; Sustainable development; Clean waters; Discrimination; Fundamental component; Healthy environments; Human health; Right to water; Roma; Running waters; Slovenia; Socio-economic status; Economics","Book chapter","Final","","Scopus","2-s2.0-105031473534"
