"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Trushna T.; Yadav M.; Sahoo K.C.; Singh S.; Parashar V.; Pandey A.K.; Sabde Y.D.; Pati S.; Tiwari R.R.; Diwan V.","Trushna, Tanwi (56037542900); Yadav, Manju (60060177500); Sahoo, Krushna Chandra (36619062900); Singh, Surya (57206711903); Parashar, Vivek (6701316763); Pandey, Ashok Kumar (59642515300); Sabde, Yogesh D. (54793337800); Pati, Sanghamitra (55441302100); Tiwari, Rajnarayan R. (7202259343); Diwan, Vishal (54793024900)","56037542900; 60060177500; 36619062900; 57206711903; 6701316763; 59642515300; 54793337800; 55441302100; 7202259343; 54793024900","Contextualising household waste segregation in India’s small cities: a multi-stakeholder qualitative study","2026","Frontiers in Sustainable Cities","8","","1716184","","","1","10.3389/frsc.2026.1716184","https://www.scopus.com/pages/publications/105033579653?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033579653"
"Chimphero L.M.; Tembo M.; Gadama R.","Chimphero, Lamech Malekano (60371157900); Tembo, Mavuto (35796450300); Gadama, Richard (60371447000)","60371157900; 35796450300; 60371447000","Community engagement and capacity building as determinants of rural water supply functionality: a case of traditional authority Mankhambira in Nkhata Bay District, Malawi","2026","Journal of Water Sanitation and Hygiene for Development","16","1","","22","35","0","10.2166/washdev.2025.149","https://www.scopus.com/pages/publications/105029394513?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029394513"
"Hasnat M.; Khan A.S.","Hasnat, Mariya (57200854124); Khan, Ambrina Sardar (58402607000)","57200854124; 58402607000","The Effect of Water Access on Female Health, Nutrition and Economic Empowerment—A Case Study of Kaudihar Block, Prayagraj, India","2026","Lecture Notes in Civil Engineering","773 LNCE","","","219","231","0","10.1007/978-981-95-3775-4_14","https://www.scopus.com/pages/publications/105034974881?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105034974881"
"Hlongwa N.; Parry V.; Makhahlela B.; Kibirige D.; Carden K.","Hlongwa, Nhlanhla (57219846113); Parry, Victor (57207914764); Makhahlela, Bridget (60521526200); Kibirige, Daniel (57218660025); Carden, Kirsty (17343365600)","57219846113; 57207914764; 60521526200; 57218660025; 17343365600","From global north to south: governing contaminants of emerging concern in water systems","2026","Environmental Research Letters ","21","3","033001","","","0","10.1088/1748-9326/ae3782","https://www.scopus.com/pages/publications/105033693440?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105033693440"
"Alawode-Atoki R.A.; Esan D.T.","Alawode-Atoki, Ruth Adenike (60797508700); Esan, Deborah Tolulope (56958592900)","60797508700; 56958592900","Breaking Barriers: Assessing the Educational and Reproductive Health Implications of Period Poverty Among Secondary School Girls","2026","Journal of Pediatric and Adolescent Gynecology","","","","","","0","10.1016/j.jpag.2026.06.014","https://www.scopus.com/pages/publications/105047804836?origin=resultslist","Review","Article in press","","Scopus","2-s2.0-105047804836"
"Arantegui L.; Kemp S.; Rodriguez-Roda I.","Arantegui, Laura (57222229355); Kemp, Steven (57215663016); Rodriguez-Roda, Ignasi (6602289317)","57222229355; 57215663016; 6602289317","Managing Cybersecurity in the Water Sector: When the Human Factor Does Matter","2026","Journal of Water Resources Planning and Management","152","5","05026009","","","0","10.1061/JWRMD5.WRENG-7075","https://www.scopus.com/pages/publications/105032999430?origin=resultslist","Article","Final","","Scopus","2-s2.0-105032999430"
"Rahman M.A.; Zuthi M.F.R.; Fakhrul T.B.; Alam M.J.","Rahman, Md. Ajijur (60080539900); Zuthi, Mst. Farzana Rahman (59247446400); Fakhrul, Tanveer Bin (60346220900); Alam, Md. Jakaria (60345807400)","60080539900; 59247446400; 60346220900; 60345807400","Status of occupational health and safety of waste workers in Chattogram city and the associated challenges","2026","Discover public health","23","1","64","","","0","10.1186/s12982-026-01356-9","https://www.scopus.com/pages/publications/105028247490?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028247490"
"Cortés Páez L.E.; Caicedo Bejarano J.R.; Sarria Carabalí M.M.","Cortés Páez, Luis Enrique (57211907447); Caicedo Bejarano, Julia Rosa (60513499400); Sarria Carabalí, Margarita Maria (57211910308)","57211907447; 60513499400; 57211910308","Nitrogen removal mechanisms in duckweed-based stabilization tanks with and without aerobic zones and intermediate feeding stream","2026","Journal of Environmental Management","411","","130194","","","0","10.1016/j.jenvman.2026.130194","https://www.scopus.com/pages/publications/105043166945?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105043166945"
"Wijnhoud L.; Miedema E.A.J.","Wijnhoud, L. (60776890800); Miedema, E.A.J. (39061702400)","60776890800; 39061702400","Beyond 'Community': Social Differentiation and Lived Experiences of Heavy Mineral Sands Mining in Southern Mozambique","2026","Extractive Industries and Society","28","","102024","","","0","10.1016/j.exis.2026.102024","https://www.scopus.com/pages/publications/105046544543?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105046544543"
"Chen L.; Wang C.; Shuai C.; Chen X.; Ye X.; Xu Z.; Zhao B.; Qu S.; Chai H.; Xu M.","Chen, Lu (59653743500); Wang, Chenglong (57190132465); Shuai, Chenyang (57190883908); Chen, Xi (57327390800); Ye, Xianmin (60708683800); Xu, Zhenci (56815847700); Zhao, Bu (57224334037); Qu, Shen (56937768600); Chai, Hongxiang (35219582100); Xu, Ming (55519747200)","59653743500; 57190132465; 57190883908; 57327390800; 60708683800; 56815847700; 57224334037; 56937768600; 35219582100; 55519747200","Towards a unified principal indicator system for global water quality assessment","2026","Water Research","304","","126364","","","0","10.1016/j.watres.2026.126364","https://www.scopus.com/pages/publications/105042861853?origin=resultslist","Article","Final","","Scopus","2-s2.0-105042861853"
"Kothadia A.; Salmon-Mulanovich G.; Ingham S.; Rusyidi B.; Cole S.; Tallman P.","Kothadia, Aman (57915845900); Salmon-Mulanovich, Gabriela (22942200300); Ingham, Sofia (60725632300); Rusyidi, Binahayati (55778489900); Cole, Stroma (7401503573); Tallman, Paula (54380767100)","57915845900; 22942200300; 60725632300; 55778489900; 7401503573; 54380767100","Infrastructural violence, water insecurity, and gender in northern Peru","2026","Social Science and Medicine","404","","119452","","","0","10.1016/j.socscimed.2026.119452","https://www.scopus.com/pages/publications/105043909604?origin=resultslist","Article","Final","","Scopus","2-s2.0-105043909604"
"Swahn M.H.; Kalulu P.; Sseviiri H.; Namuyiga J.; Palmier J.; Twinomuhangi R.","Swahn, Monica H. (7003475674); Kalulu, Peter (59768962300); Sseviiri, Hakimu (57205064783); Namuyiga, Josephine (60213682900); Palmier, Jane (37102389200); Twinomuhangi, Revocatus (56682818000)","7003475674; 59768962300; 57205064783; 60213682900; 37102389200; 56682818000","Rethinking Urbanicity: Conceptualizing Neighborhood Effects on Women’s Mental Health in Kampala’s Urban Slums","2026","International Journal of Environmental Research and Public Health","23","1","41","","","1","10.3390/ijerph23010041","https://www.scopus.com/pages/publications/105028555295?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028555295"
"Mian H.R.; Avila J.; De Coste M.; Saleem S.; Mohseni M.; Hewage K.; Sadiq R.","Mian, Haroon R. (59756338400); Avila, Juan (60243454300); De Coste, Michael (57195302923); Saleem, Sana (57203961551); Mohseni, Madjid (7005809210); Hewage, Kasun (8384286700); Sadiq, Rehan (7003604679)","59756338400; 60243454300; 57195302923; 57203961551; 7005809210; 8384286700; 7003604679","Assessing the water infrastructure in Small and Rural Indigenous (SRI) communities: a risk assessment framework","2026","Journal of Water and Health","24","5","","673","692","0","10.2166/wh.2026.151","https://www.scopus.com/pages/publications/105041133648?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041133648"
"Basnet G.B.; Sherchan S.","Basnet, Ganga B. (60714331100); Sherchan, Samendra (37052722500)","60714331100; 37052722500","Urban Water Insecurity and Public Health in Kathmandu Valley, Nepal: A Systematic Review of Contamination Sources, Health Risks, and Governance Gaps","2026","Water (Switzerland)","18","12","1514","","","0","10.3390/w18121514","https://www.scopus.com/pages/publications/105043012352?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043012352"
"Berhanu E.G.","Berhanu, Elshaday Girma (60309522800)","60309522800","Strengthening climate resilience in water, sanitation and hygiene: Evaluating women-led enterprises in rural Ethiopia","2026","African Evaluation Journal","14","2","a857","","","0","10.4102/aej.v14i2.867","https://www.scopus.com/pages/publications/105037206252?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105037206252"
"Saroughi M.; Achite M.; Çelik M.A.; Pandey K.","Saroughi, Mohsen (57928814100); Achite, Mohammed (6506127655); Çelik, Mehmet Ali (58104871200); Pandey, Kusum (57219363840)","57928814100; 6506127655; 58104871200; 57219363840","From Scarcity to Security Multidimensional Perspectives on Water in a Changing World: From Scarcity to Security","2026","Interdisciplinary Studies on Global Disasters","","","","1","30","0","10.4018/979-8-3373-6274-8.ch001","https://www.scopus.com/pages/publications/105033427598?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105033427598"
"Garcia-Barrios J.; Laird B.; Kocsis E.; Wyngaarden S.; Roblero M.; Aguilar R.; Brubacher L.J.; Little M.; Neufeld H.; Dodd W.","Garcia-Barrios, Joshua (57219979213); Laird, Brian (22980194400); Kocsis, Emily (57215052757); Wyngaarden, Sara (56997382000); Roblero, Magnolia (60416560400); Aguilar, Rony (60378504200); Brubacher, Laura Jane (57204247825); Little, Matthew (57189597269); Neufeld, Hannah (57215799033); Dodd, Warren (57188988113)","57219979213; 22980194400; 57215052757; 56997382000; 60416560400; 60378504200; 57204247825; 57189597269; 57215799033; 57188988113","Characterizing water-health pathways among diverse system actors in rural Guatemala: a qualitative study","2026","Environmental Research: Health","4","1","015006","","","0","10.1088/2752-5309/ae405a","https://www.scopus.com/pages/publications/105031120044?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031120044"
"Saikia B.B.; Dutta M.; Dutta S.B.","Saikia, Bristy Bonya (60711167700); Dutta, Mridul (60711701100); Dutta, Sudipta Bashab (60711344500)","60711167700; 60711701100; 60711344500","Pots to Pipelines: Ethnographic Narratives of Women's Engagements With Water in Jorhat District of Assam","2026","World Water Policy","12","3","e70092","","","0","10.1002/wwp2.70092","https://www.scopus.com/pages/publications/105043178859?origin=resultslist","Article","Final","","Scopus","2-s2.0-105043178859"
"Obodai E.; Asante Ntim N.A.; Duker E.O.; Gberbi E.; Antwi C.N.; Mensah J.Y.; Odame D.; Boakye J.D.; Bimpong S.A.; Agbotse G.D.; Odoom N.; Adams P.L.; Acquah N.K.; Dickson A.E.; Odoom C.; Achempem K.K.; Baffoe-Nyarko I.; Egbi G.; Laryea D.; Asiedu-Bekoe F.; Odoom J.K.","Obodai, Evangeline (56422164400); Asante Ntim, Nana Afia (56133430900); Duker, Ewurabena Oduma (57207689026); Gberbi, Emmanuel (57838525000); Antwi, Comfort Nuamah (59318020600); Mensah, Jude Yayra (59317494100); Odame, Deborah (59449575800); Boakye, Jessica Dufie (60163109400); Bimpong, Sharon Ansong (59449575700); Agbotse, Gayheart Deladem (58979772700); Odoom, Nancy (59974920200); Adams, Patience Lartekai (58364542000); Acquah, Nana Kobina (60336777500); Dickson, Angelina Evelyn (58979625200); Odoom, Christabel (59974077800); Achempem, Kwame Kodom (58912199200); Baffoe-Nyarko, Isaac (57386903900); Egbi, Godfred (56499212300); Laryea, Dennis (57201281307); Asiedu-Bekoe, Franklin (55987037700); Odoom, John Kofi (24765405900)","56422164400; 56133430900; 57207689026; 57838525000; 59318020600; 59317494100; 59449575800; 60163109400; 59449575700; 58979772700; 59974920200; 58364542000; 60336777500; 58979625200; 59974077800; 58912199200; 57386903900; 56499212300; 57201281307; 55987037700; 24765405900","Effectiveness of poliovirus environmental surveillance in Ghana: an indicator-based performance evaluation across seven regions, 2018–2022","2026","BMJ Open ","16","1","e109733","","","1","10.1136/bmjopen-2025-109733","https://www.scopus.com/pages/publications/105027705511?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105027705511"
"Isunju J.B.; Magala J.; Wafula S.T.; Tamas P.; Namanya D.; Mukasa C.H.; Mugambe R.K.; Yimam D.A.; Akello T.; Galiwango J.; Nakalembe D.; Mubiru S.; Ndyanabo R.; Naamala M.; Ogwok R.; Nalugya A.; Tamale B.N.; Geofrey A.; Mukasa M.M.; Mukama T.; Ssekamatte D.; Ssekamatte T.","Isunju, John Bosco (37665082300); Magala, Joyce (59391335300); Wafula, Solomon T. (57193238711); Tamas, Peter (14053046300); Namanya, Didacus (56256451500); Mukasa, Comfort Hajra (57801689700); Mugambe, Richard K. (53983147100); Yimam, Dereje Amene (57924380200); Akello, Trophy (59300260900); Galiwango, Jovan (59181608800); Nakalembe, Doreen (57685980400); Mubiru, Shakiim (60200379500); Ndyanabo, Remegio (58304759300); Naamala, Mirandah (60199752700); Ogwok, Ronald (60200942300); Nalugya, Aisha (57217992482); Tamale, Bridget Nagawa (57838068200); Geofrey, Anguzu (60201555700); Mukasa, Martin Mujjabi (60199752800); Mukama, Trasias (57063506300); Ssekamatte, David (57201425356); Ssekamatte, Tonny (57204817969)","37665082300; 59391335300; 57193238711; 14053046300; 56256451500; 57801689700; 53983147100; 57924380200; 59300260900; 59181608800; 57685980400; 60200379500; 58304759300; 60199752700; 60200942300; 57217992482; 57838068200; 60201555700; 60199752800; 57063506300; 57201425356; 57204817969","Household vulnerability to climate impacts on WASH and risk mitigation in informal settlements of Eastern Uganda","2026","Scientific Reports","16","1","21154","","","0","10.1038/s41598-026-50977-2","https://www.scopus.com/pages/publications/105044009831?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105044009831"
"Karunananthan M.","Karunananthan, Meera (57203526654)","57203526654","Sustainable development, climate resilience and the technologies of water apartheid","2026","Geoforum","172","","104607","","","0","10.1016/j.geoforum.2026.104607","https://www.scopus.com/pages/publications/105034064182?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105034064182"
"Zhang H.; Qiao H.; Gu X.; Uddin I.; Li X.; He Z.; Zhang X.","Zhang, Hong (58917681000); Qiao, Haixiang (60238492900); Gu, Xiao (60628387800); Uddin, Ijaz (57803897400); Li, Xiuping (60238637200); He, Zhenhua (60628017900); Zhang, Xiaolan (58550924000)","58917681000; 60238492900; 60628387800; 57803897400; 60238637200; 60628017900; 58550924000","Impact of air pollution on life expectancy: the role of digitalization, urbanization and institutional quality in BRICS economies","2026","Frontiers in public health","14","","","1681381","","0","10.3389/fpubh.2026.1681381","https://www.scopus.com/pages/publications/105038503707?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105038503707"
"Souza-Dal Bó G.C.D.; Bernardin A.M.","Souza-Dal Bó, Gláucia Cardoso de (60231098300); Bernardin, Adriano Michael (8550927400)","60231098300; 8550927400","The (de)valuation of solid waste in developing countries: The Brazilian case (2012–2022) after the national solid waste policy","2026","Cleaner Waste Systems","13","","100457","","","1","10.1016/j.clwas.2025.100457","https://www.scopus.com/pages/publications/105024343124?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105024343124"
"Chirumamilla V.","Chirumamilla, Varudhini (60046637900)","60046637900","Waste disposal and management practices in fruit and vegetable processing plants in Gujarat","2026","Discover Sustainability","7","1","631","","","0","10.1007/s43621-026-02964-w","https://www.scopus.com/pages/publications/105038039007?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105038039007"
"Chen C.-Y.; Cai Y.-S.; Hung Y.-J.; You G.J.-Y.","Chen, Chieh-Ying (57224534444); Cai, Yu-Syuan (60749548100); Hung, Yu-Ju (59380183800); You, Gene Jiing-Yun (60749548200)","57224534444; 60749548100; 59380183800; 60749548200","Institutional conflicts of interest in regional water management: a case study of the water supply in the Taipei metropolitan area","2026","Geoscience Letters","13","1","50","","","0","10.1186/s40562-026-00498-7","https://www.scopus.com/pages/publications/105045263697?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105045263697"
"Ebenehi I.Y.; Diwa B.B.; Zakari M.","Ebenehi, Ibrahim Yakubu (57199323482); Diwa, Benjamin Bilari (60592931400); Zakari, Mukailu (60592828000)","57199323482; 60592931400; 60592828000","Assessing the Potential and Utilization of Renewable Energy for Sustainable Building Services Systems","2026","Lecture Notes in Civil Engineering","772 LNCE","","","567","580","0","10.1007/978-3-032-08992-2_47","https://www.scopus.com/pages/publications/105036375680?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105036375680"
"Azimi M.N.; Rahman M.M.","Azimi, Mohammad Naim (57421637100); Rahman, Mohammad Mafizur (55295683900)","57421637100; 55295683900","Governance, structure, and access: a Bayesian hierarchical analysis of water, sanitation, and hygiene in South Asia","2026","Globalization and Health","22","1","62","","","0","10.1186/s12992-026-01219-7","https://www.scopus.com/pages/publications/105046524940?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105046524940"
"Liu C.; Ju R.; Han C.; Zeng B.; Wu H.; Tao X.","Liu, Chongtao (58846764100); Ju, Ran (58846911200); Han, Chunxiao (59147291500); Zeng, Bing (59957893400); Wu, Houkai (57190167600); Tao, Xiuping (12785286700)","58846764100; 58846911200; 59147291500; 59957893400; 57190167600; 12785286700","Construction and performance optimization of five-chamber microbial desalination cell for enhanced desalination and bioelectricity generation; [多室微生物脱盐燃料电池的构建与脱盐产电性能优化研究]","2026","Huagong Xuebao/CIESC Journal","77","3","","1411","1423","0","10.11949/0438-1157.20250921","https://www.scopus.com/pages/publications/105044525700?origin=resultslist","Article","Final","","Scopus","2-s2.0-105044525700"
"Amoo O.T.; Nakin M.D.V.; Ikudayisi A.; Lukman Y.","Amoo, Oseni Taiwo (57213265661); Nakin, Motebang Dominic Vincent (18234253400); Ikudayisi, Akinola (57204480824); Lukman, Yusuf (57264255400)","57213265661; 18234253400; 57204480824; 57264255400","A system dynamics approach to stormwater harvesting under increasing drought variability","2026","iScience","29","7","116472","","","0","10.1016/j.isci.2026.116472","https://www.scopus.com/pages/publications/105043702888?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105043702888"
"Yang L.; Fu P.; Yang C.; Tan S.; Liang S.-X.; Yang Y.","Yang, Lansong (57906829900); Fu, Peixin (57221931415); Yang, Chen (59877597900); Tan, Shixin (59723412300); Liang, Shun-Xing (57221992414); Yang, Yuanzheng (57220182904)","57906829900; 57221931415; 59877597900; 59723412300; 57221992414; 57220182904","Enhanced Fenton-like catalytic performance of Fe-based metallic glass by nitrogen microalloying","2026","Intermetallics","189","","109099","","","3","10.1016/j.intermet.2025.109099","https://www.scopus.com/pages/publications/105023437917?origin=resultslist","Article","Final","","Scopus","2-s2.0-105023437917"
"Irannezhad M.; Hassani Nezhad Gashti M.","Irannezhad, Masoud (56554177200); Hassani Nezhad Gashti, Maryam (60795225400)","56554177200; 60795225400","Water at risk: conflict-driven vulnerabilities in desalination-dependent systems","2026","Environmental Sustainability","","","","","","0","10.1007/s42398-026-00468-x","https://www.scopus.com/pages/publications/105047630868?origin=resultslist","Article","Article in press","","Scopus","2-s2.0-105047630868"
"Montoya-Lozano A.; Grillos T.","Montoya-Lozano, Ariana (60209923400); Grillos, Tara (57191228029)","60209923400; 57191228029","Effect of women's inclusion on conservation and management practices of Water User Associations","2026","World Development","199","","107255","","","1","10.1016/j.worlddev.2025.107255","https://www.scopus.com/pages/publications/105022785647?origin=resultslist","Article","Final","","Scopus","2-s2.0-105022785647"
"Nasrin R.; Ali M.M.; Ahmed A.; Rahman A.","Nasrin, Rubaya (60436534600); Ali, Mir Mohammad (57214142357); Ahmed, Ali (56427059100); Rahman, Ataur (56234266400)","60436534600; 57214142357; 56427059100; 56234266400","Water at the Crossroads: Challenges and Opportunities for SDG Integration in Bangladesh","2026","Lecture Notes in Civil Engineering","822 LNCE","","","879","892","0","10.1007/978-3-032-18708-6_78","https://www.scopus.com/pages/publications/105031889212?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105031889212"
