"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Rahman S.F.; Kantor R.S.; Huddy R.; Thomas B.C.; van Zyl A.W.; Harrison S.T.L.; Banfield J.F.","Rahman, Sumayah F. (57193383290); Kantor, Rose S. (55365543900); Huddy, Robert (56145872300); Thomas, Brian C. (7401507376); van Zyl, Andries W. (7005569919); Harrison, Susan T.L. (7402647856); Banfield, Jillian F. (7005748958)","57193383290; 55365543900; 56145872300; 7401507376; 7005569919; 7402647856; 7005748958","Genome-resolved metagenomics of a bioremediation system for degradation of thiocyanate in mine water containing suspended solid tailings","2017","MicrobiologyOpen","6","3","e00446","","","31","10.1002/mbo3.446","https://www.scopus.com/pages/publications/85013391351?origin=resultslist","Thiocyanate (SCN−) is a toxic compound that forms when cyanide (CN−), used to recover gold, reacts with sulfur species. SCN−-degrading microbial communities have been studied, using bioreactors fed synthetic wastewater. The inclusion of suspended solids in the form of mineral tailings, during the development of the acclimatized microbial consortium, led to the selection of an active planktonic microbial community. Preliminary analysis of the community composition revealed reduced microbial diversity relative to the laboratory-based reactors operated without suspended solids. Despite minor upsets during the acclimation period, the SCN− degradation performance was largely unchanged under stable operating conditions. Here, we characterized the microbial community in the SCN− degrading bioreactor that included solid particulate tailings and determined how it differed from the biofilm-based communities in solids-free reactor systems inoculated from the same source. Genome-based analysis revealed that the presence of solids decreased microbial diversity, selected for different strains, suppressed growth of thiobacilli inferred to be primarily responsible for SCN− degradation, and promoted growth of Trupera, an organism not detected in the reactors without solids. In the solids reactor community, heterotrophy and aerobic respiration represent the dominant metabolisms. Many organisms have genes for denitrification and sulfur oxidation, but only one Thiobacillus sp. in the solids reactor has SCN− degradation genes. The presence of the solids prevented floc and biofilm formation, leading to the observed reduced microbial diversity. Collectively the presence of the solids and lack of biofilm community may result in a process with reduced resilience to process perturbations, including fluctuations in the influent composition and pH. The results from this investigation have provided novel insights into the community composition of this industrially relevant community, giving potential for improved process control and operation through ongoing process monitoring. © 2017 The Authors. MicrobiologyOpen published by John Wiley & Sons Ltd.","biodegradation; bioreactors; metabolic pathways; metagenomics; thiocyanate","Biodegradation, Environmental; Biotransformation; Metagenomics; Microbial Consortia; Thiocyanates; Water Microbiology; Water Pollutants, Chemical; cyanide; cytochrome c oxidase; nitrogen; sulfur; thiocyanate; thiocyanate; thiocyanic acid derivative; activated sludge; aerobic metabolism; alkalinity; Article; autotroph; bacterial genome; bacterium culture; biodegradation; bioreactor; bioremediation; budding yeast; carbon fixation; contig mapping; denitrification; DNA extraction; DNA sequence; effluent; heterotrophy; human; metabolic regulation; metagenomics; microbial community; microbial diversity; mine tailings; open reading frame; pH; priority journal; Sphingobacteriaceae; Thiobacillus; biotransformation; metabolism; metagenomics; microbial consortium; microbiology; water pollutant","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85013391351"
"Hazarika N.; Nitivattananon V.","Hazarika, Natasha (57208058576); Nitivattananon, Vilas (6508081240)","57208058576; 6508081240","Strategic assessment of groundwater resource exploitation using DPSIR framework in Guwahati city, India","2016","Habitat International","51","","","79","89","31","10.1016/j.habitatint.2015.10.003","https://www.scopus.com/pages/publications/84945964014?origin=resultslist","Millions of people on the urban settlements in Asia rely on groundwater for fulfilling daily water needs. And while groundwater storage is vast, its replenishment is limited, and many aquifers are exhibiting signs of inadequately controlled pumping. However, efforts to understand the impacts of a society on the availability, equity, and sustainability of groundwater and its repercussions has received little attention till date. Therefore, using Guwahati city, India, as a case, the aim of this paper is to understand the socio-political factors and their intra and inter-relationships with groundwater which in turn influences the urban households' accessibility to water. Overall methodology used the DPSIR framework for which inputs were generated from questionnaire survey of 150 households and other official, literature records. It is revealed that high population density of 4445 persons/km2, rapid urbanization with haphazard construction, pertaining groundwater rights with land rights, and coverage of only 27% of the population by water supply services have acted as thrusts to exceed groundwater extraction over safe yield. This situation however has a feedback in the form of increasing number of households with reduced accessibility to water as many have stated about declined water levels, increasing issue of water affordability and subsequent emergence of water poor. The paper recommends use of water use fee rate and indirect groundwater pricing through energy tariffs for enhanced conservation of groundwater as opposed to present day method of its regulation. © 2015 Elsevier Ltd.","DPSIR; Groundwater; Urban households; Urbanization; Water accessibility","Assam; Gauhati; India; accessibility; aquifer; exploitation; groundwater resource; questionnaire survey; strategic environmental assessment; urbanization; water storage","Article","Final","","Scopus","2-s2.0-84945964014"
"Silva T.L.S.; Morales-Torres S.; Castro-Silva S.; Figueiredo J.L.; Silva A.M.T.","Silva, Tânia L.S. (55947747700); Morales-Torres, Sergio (57548687200); Castro-Silva, Sérgio (36095831600); Figueiredo, José L. (7102525310); Silva, Adrián M.T. (56329177700)","55947747700; 57548687200; 36095831600; 7102525310; 56329177700","An overview on exploration and environmental impact of unconventional gas sources and treatment options for produced water","2017","Journal of Environmental Management","200","","","511","529","101","10.1016/j.jenvman.2017.06.002","https://www.scopus.com/pages/publications/85020527806?origin=resultslist","Rising global energy demands associated to unbalanced allocation of water resources highlight the importance of water management solutions for the gas industry. Advanced drilling, completion and stimulation techniques for gas extraction, allow more economical access to unconventional gas reserves. This stimulated a shale gas revolution, besides tight gas and coalbed methane, also causing escalating water handling challenges in order to avoid a major impact on the environment. Hydraulic fracturing allied to horizontal drilling is gaining higher relevance in the exploration of unconventional gas reserves, but a large amount of wastewater (known as “produced water”) is generated. Its variable chemical composition and flow rates, together with more severe regulations and public concern, have promoted the development of solutions for the treatment and reuse of such produced water. This work intends to provide an overview on the exploration and subsequent environmental implications of unconventional gas sources, as well as the technologies for treatment of produced water, describing the main results and drawbacks, together with some cost estimates. In particular, the growing volumes of produced water from shale gas plays are creating an interesting market opportunity for water technology and service providers. Membrane-based technologies (membrane distillation, forward osmosis, membrane bioreactors and pervaporation) and advanced oxidation processes (ozonation, Fenton, photocatalysis) are claimed to be adequate treatment solutions. © 2017 Elsevier Ltd","Flowback water; Hydraulic fracturing; Produced water; Shale gas; Unconventional gas; Water treatment","Environment; Natural Gas; Oil and Gas Fields; Waste Water; Water; Water Resources; Bioreactors; Coal bed methane; Coal deposits; Cost estimating; Distillation; Drilling fluids; Environmental regulations; Environmental technology; Gas industry; Gases; Horizontal drilling; Methane; Natural gas; Natural gas well production; Oil well drilling; Produced Water; Proven reserves; Shale gas; Tight gas; Water conservation; oil; natural gas; water; Drilling techniques; Flowback; Flowback water; Gas reserves; Gas sources; Gas treatment; Global energy demand; Unconventional gas; Waters managements; Waters resources; chemical composition; environmental impact; extraction method; flow pattern; formation water; horizontal drilling; shale gas; wastewater; water management; water technology; distillation; environmental impact; environmental policy; Fenton reaction; fracking; government regulation; membrane technology; oil industry; ozonation; pervaporation; photocatalysis; Review; waste disposal; waste water management; environment; oil and gas field; waste water; water supply; Hydraulic fracturing","Review","Final","","Scopus","2-s2.0-85020527806"
"","","","WEFTEC 2016 - 89th Water Environment Federation Annual Technical Exhibition and Conference","2016","WEFTEC 2016 - 89th Water Environment Federation Annual Technical Exhibition and Conference","1","","","","","0","","https://www.scopus.com/pages/publications/85070705872?origin=resultslist","The proceedings contain 493 papers. The topics discussed include: private property infiltration and inflow control; challenges of implementing a successful service area wide PPI/IR program; implementing the watershed Mater plan for TMDL compliance: the Lakewood stormwater and runoff capture project; from panther island to beyond: resilient urban infrastructure to protect and enhance receiving water quality; you can dig it, but can you operate it? proactive CSO tunnel operational planning; meeting strict summer permit requirements on day one: start-up of the western wake regional water reclamation facility; energy efficiency as a group effort: cohorts work!; major infrastructure resilience to projected changes to population and climate; conducting a reliability-based evaluation of a critical wastewater pump station to best ensure long-term, sustainable performance; direct potable reuse can (and does!) improve water quality: full CECs results from water quality testing at the raw water production facility in big spring; biological nitrogen removal from gypsum saturated mining effluent at cold temperature; the Ventura WaterPure potable reuse demonstration facility: providing opportunities for scientific evaluation, education and outreach; and building a framework for potable reuse operator training and certification in California.","","","Conference review","Final","","Scopus","2-s2.0-85070705872"
"Klosok-Bazan I.; Kotas P.","Klosok-Bazan, Iwona (56027610400); Kotas, Paulina (57196245701)","56027610400; 57196245701","Secondary pollution in the water supply system on the example of the opole city","2017","International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM","17","51","","853","860","0","10.5593/sgem2017/51/S20.015","https://www.scopus.com/pages/publications/85032378725?origin=resultslist","The introduction of the Minister of Health’s Regulation of 20 April 2010 on the quality of water intended for consumption by people resulted in the duty of testing the condition of water delivered to a consumer. In effect, a change in water quality during its distribution was noticed in many sites. There are many causes of this phenomenon, e.g. water supply system building material, quality of water coming out of the treatment station, failures and processes taking place in the system, for this reason, it is very important to prevent the occurrence of this problem so that it does not negatively impact human life and health. In connection with this, the results of tests for iron content in water for years 2014-2015 in the site where it is pumped into the water supply system as well as in 16 inspection points in the area of Opole were analysed. In addition, the features of the said distribution system were characterised in detail in the context of occurrence of the phenomenon of secondary water pollution, such as: age, pipeline building material, number of failures and its length. The conducted analysis allows to conclude that in the area of the city of Opole in years 2014-2015 there were little changes in quality of distributed water. Changes in the iron value between the treated water and water delivered to a consumer are characteristic for the discussed system, which can be the reason for generation of a sediment layer on pipeline walls. However, constant monitoring and procedures aiming to prevent the process of secondary water pollution conducted by Wodociągi i Kanalizacja w Opolu Sp. z o.o. result in the fact that water consumed by citizens of Opole is of very high quality. © SGEM2017.","Secondary pollution of water; Water quality; Water supply system","Building materials; Iron; Laws and legislation; Pipelines; Water quality; Water supply; Water supply systems; Water treatment; Distributed water; Distribution systems; High quality; Human lives; Iron content; Quality of water; Secondary pollution; Sediment layers; Water pollution","Conference paper","Final","","Scopus","2-s2.0-85032378725"
"Rietveld L.C.; Siri J.G.; Chakravarty I.; Arsénio A.M.; Biswas R.; Chatterjee A.","Rietveld, L.C. (6602724016); Siri, J.G. (23991437100); Chakravarty, I. (57191955322); Arsénio, A.M. (54915051300); Biswas, R. (58821906100); Chatterjee, A. (57191954847)","6602724016; 23991437100; 57191955322; 54915051300; 58821906100; 57191954847","Improving health in cities through systems approaches for urban water management","2016","Environmental Health: A Global Access Science Source","15","","31","","","42","10.1186/s12940-016-0107-2","https://www.scopus.com/pages/publications/84995370860?origin=resultslist","Background: As human populations become more and more urban, decision-makers at all levels face new challenges related to both the scale of service provision and the increasing complexity of cities and the networks that connect them. These challenges may take on unique aspects in cities with different cultures, political and institutional frameworks, and at different levels of development, but they frequently have in common an origin in the interaction of human and environmental systems and the feedback relationships that govern their dynamic evolution. Accordingly, systems approaches are becoming recognized as critical to understanding and addressing such complex problems, including those related to human health and wellbeing. Management of water resources in and for cities is one area where such approaches hold real promise. Results: This paper seeks to summarize links between water and health in cities and outline four main elements of systems approaches: Analytic methods to deal with complexity, interdisciplinarity, transdisciplinarity, and multi-scale thinking. Using case studies from a range of urban socioeconomic and regional contexts (Maputo, Mozambique; Surat and Kolkata, India; and Vienna, Austria). Conclusion: We show how the inclusion of these elements can lead to better research design, more effective policy and better outcomes.","City planning; Recreation; Systems theory; Urban health; Urban sanitation; Water supply; Waterborne diseases","Humans; Public Health; Urban Health; Waste Disposal, Fluid; Water Purification; Austria; Gujarat; India; Kolkata; Maputo [Mozambique]; Mozambique; Surat; Vienna; West Bengal; complexity; decision making; public health; recreational development; sanitation; service provision; socioeconomic conditions; systems analysis; urban design; urban development; urban planning; water management; water supply; waterborne disease; Article; Austria; city planning; environmental sanitation; human; India; Mozambique; policy; priority journal; quality of life; recreation; socioeconomics; urban area; water management; water supply; wellbeing; public health; sewage; urban health","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84995370860"
"Obani P.","Obani, Pedi (56582255300)","56582255300","Inclusiveness in humanitarian action—access to water, sanitation & hygiene in focus","2017","Current Opinion in Environmental Sustainability","24","","","24","29","4","10.1016/j.cosust.2017.01.005","https://www.scopus.com/pages/publications/85014920724?origin=resultslist","Legal principles and moral obligations that guarantee the basic needs of people living in humanitarian crisis situations (HCSs) predate inclusive development (ID). This review of the scholarly literature on access to water, sanitation and hygiene services (WASH) in HCSs links: (a) legal principles and moral obligations for WASH in HCSs, (b) technological, assessment and participatory instruments for WASH provision in HCSs, and (c) the social, relational and environmental dimensions of ID. The analysis shows that the legal principles and instruments mainly address social and relational inclusion while moral obligations further address environmental inclusion. However, the moral obligations are mostly non-justiciable which limits enforcement and their potential for advancing ID. © 2017 Elsevier B.V.","","accessibility; basic needs; hygiene; literature review","Review","Final","","Scopus","2-s2.0-85014920724"
"Begolli B.; Lajçi A.","Begolli, B. (57189703421); Lajçi, A. (57189699482)","57189703421; 57189699482","Water services sector reform: The Kosova experience","2016","Water Science and Technology: Water Supply","16","1","","26","33","0","10.2166/ws.2015.104","https://www.scopus.com/pages/publications/84974663295?origin=resultslist","Governments of countries with emerging economies usually are not very successful in providing safe and sufficient potable water and adequate wastewater services to their citizens. The reasons vary from inadequate institutional structures to chronic under-investment in water infrastructure. To address this, governments embark on reforms based on commonly accepted principles of good governance such as: separation of policy, regulation and service delivery; protecting customer interests; and ensuring financial viability of water utilities and restructuring them so as to benefit from economies of scale and economies of scope. Kosova initiated water sector reforms in 2000 based on five pillars: (i) establishment of a legal and institutional framework, (ii) consolidation of 30 municipal water utilities into seven regional entities, (iii) incorporation in line with corporate governance principles, (iv) establishment of an independent economic regulator and (v) ownership and pushing of reforms by government. The paper describes the challenges encountered in implementing these reforms which, as far as the institutional and legislative framework is concerned, were successfully completed by 2008. Also, the difficulties associated with consolidation of newly created institutions resulting from the reform and defining their roles in the water services sector are described in the paper. © IWA Publishing 2016.","Consolidation; Inter-institutional coordination; Regional water companies; Water sector reform; Water services","Kosovo; Consolidation; Economics; Investments; Laws and legislation; Societies and institutions; Water supply; water; Institutional framework; Institutional structure; Inter-institutional coordination; Legislative frameworks; Water companies; Water infrastructure; Water sector reforms; Water service; consolidation; drinking water; government; regional economy; service sector; viability; wastewater; Article; government; health care delivery; health care policy; health service; law; organization and management; waste water; water supply; Potable water","Article","Final","","Scopus","2-s2.0-84974663295"
"Molle F.; Closas A.; Al-Zubari W.","Molle, François (6603470820); Closas, Alvar (56072358500); Al-Zubari, Waleed (6507850743)","6603470820; 56072358500; 6507850743","Governing groundwater in the middle east and North Africa Region","2017","Advances in Groundwater Governance","","","","527","553","14","10.1201/9781315210025","https://www.scopus.com/pages/publications/85053296759?origin=resultslist","Groundwater is a key resource in the Middle East and Northern Africa region for both water supply and agriculture. While farmers in irrigated areas have tapped aquifers as a response to dwindling and uncertain surface water supply, investors have drilled wells and expanded agriculture into arid or desert areas. Most countries in the region have adopted standard water regulations, with emphasis on zoning (of stressed areas), licensing, metering and sometimes pricing, but enforcement has been problematic, and results on the ground modest to non-existent. This reflects a lack of material and financial means to handle tens and sometimes hundreds of thousands of dispersed wells but also a lack of political will. This can be explained by the state’s lack of appetite for curtailing access to a resource that substantially contributes to the rural economy, a drop in state authority after the Arab Spring, inter-sectoral policy contradictions, the interest of politically well-connected investors, and sometimes the complexity of tribal politics. While state-centred governance has been largely ineffective, attempts at co-management or instilling a degree of participation from users have also been limited and unconvincing, reflecting wider governance systems in the region. The worrying depletion of many vital aquifers in the region is increasing the cost of abstraction, heightening social differentiation as smaller farmers are pumped out, and foreshadows a gradual collapse of the groundwater economy. © 2018 Taylor & Francis Group, London, UK.","","","Book chapter","Final","","Scopus","2-s2.0-85053296759"
"Afshar M.H.; Azizipour M.","Afshar, Mohammad Hadi (7004037501); Azizipour, Mohammad (56724227800)","7004037501; 56724227800","Chance-constrained water supply operation of reservoirs using cellular automata","2016","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9863 LNCS","","","201","209","3","10.1007/978-3-319-44365-2_20","https://www.scopus.com/pages/publications/84987959400?origin=resultslist","This paper presents the application of a novel Cellular Automata approach for the efficient and effective solution of chance-constrained water supply reservoir operation problems. The method is based on the observation that a low value of the penalty parameter would lead to partial enforcement of the constraints. The constraints of the operation problem namely operation and reliability constraint, are dealt differently. A high enough value of the penalty parameter is used for the first set while a lower than enough value is used for the second set leading to complete enforcement of the first set of the constraint and partial fulfillment of the second set. Since the proper value of the penalty parameter to be used for the reliability constraints is not known a priori, an adaptive method is, therefore, proposed to find the proper value. For this, the problem is first solved for the optimal operation using a zero value of the penalty parameter. The value of the penalty parameter is then adjusted using the reliability of the optimal operation obtained. At each iteration, the penalty parameter is increased if the current reliability is less than the target reliability and deceased if otherwise. The proposed model is used for the optimal water supply operation of Dez reservoir in Iran over short, medium and long term for different target reliabilities and the results are presented and compared with those of a Genetic algorithm. The proposed model is shown to produce comparable results to the GA for water supply problem with much reduced computational effort. © Springer International Publishing Switzerland 2016.","Cellular automata; Reliability; Reservoir operation","Cellular automata; Genetic algorithms; Industrial research; Iterative methods; Reliability; Reservoirs (water); Water distribution systems; Chance-constrained; Computational effort; Effective solution; Reliability constraints; Reservoir operation; Water supply operations; Water supply problems; Water supply reservoirs; Water supply","Article","Final","","Scopus","2-s2.0-84987959400"
