title,authors,year,doi,url,abstract,database,search_id
Water resources in Malaysia: Issues and challenges,Ahmed F.; Siwar C.; Begum R.A.,2014,,https://www.scopus.com/pages/publications/84903735299?origin=resultslist,"Water is a critical ingredient in all social and economic endeavours. Though Malaysia is endowed with abundant water resources, the country is experiencing increased demand for water in recent years. This paper aims to focus on the current status of water resources in Malaysia. The paper also highlights the issues and challenges of water resources in Malaysia. The study reviews currently available information on scenario of water resources in Malaysia. It was found that the demand for water in Malaysia has increased steadily from 8.9 billion m3in 1980 to 15.5 billion m3in 2000 for agricultural, industrial and domestic purposes. Agriculture sector uses approximately 76% of all available water of which 90% is used for rice production. It was also found that demand for water is high in the states, which are supporting heavy industrialization and large-scale agriculture for rice production. Moreover, growth in population and urbanization as well as improved living standard is imposing additional pressure on the water resources in the country. As a result, the per capita availability of water is decreasing. On the other hand, national coverage of water supply has increased from 80% of the total population in 1990 to 95% in 2000. It was also revealed that rural population of the country have less access to fresh and clean water supply as compared to urban people. Therefore, access to uncontaminated water is becoming an important issue for the water sector in the county, and the key challenge is to meet per capita consumption target for water. Hence, further research is urgently needed to set more effective policies and strategies for well management and governance of water resources in the country.",Scopus,SEARCH_030
Governance and functionality of community water schemes in rural ethiopia,Alexander K.T.; Tesfaye Y.; Dreibelbis R.; Abaire B.; Freeman M.C.,2015,10.1007/s00038-015-0675-x,https://www.scopus.com/pages/publications/84978924479?origin=resultslist,"Objectives A key challenge for achieving universal water access in Sub-Saharan Africa is poor sustainability of water schemes. Previous studies have posited factors that may lead to failed schemes; however, empirical data are lacking. Methods We conducted direct observations of water sources and interviewed water committee members about governance in two regions of Ethiopia. Based on direct observation at each water point, and harmonizing previous research in the sector, we developed an ordinal measure of functionality. Among functional systems, linear regression models were used to assess changes in score or level of functionality against governance characteristics. Results Of 89 water schemes over 5 years old, 82 had sufficient data to receive a score. Higher functionality scores were associated with having good records, meeting regularly, financial audits, higher monthly fees, a paid caretaker and water committees with capacity to perform minor repairs. Conclusions Our continuous measure of functionality was simple to derive, objective and may be widely applicable for further studies assessing key indicators of sustainability. © Swiss School of Public Health 2015.",Scopus,SEARCH_030
Small independent water providers: Their position in the regulatory framework for the supply of water in Kenya and Ethiopia,Ayalew M.; Chenoweth J.; Malcolm R.; Mulugetta Y.; Okotto L.G.; Pedley S.,2014,10.1093/jel/eqt028,https://www.scopus.com/pages/publications/84898814887?origin=resultslist,"The Millennium Development Goals (MDGs) included a target to halve the proportion of people without sustainable access to safe drinking water by 2015-a right recognised as fundamental to human needs. Small independent water vendors are often the only water supply option in peri-urban neighbourhoods in developing countries and fill a critical gap in the municipal system, but there is concern about the quality and price of their water. Such vendors need to be recognised and regulated due to their role in meeting basic water needs. This article reflects on the lack of regulation and discusses a recent multidisciplinary research project in Kenya and Ethiopia that considered whether there is a case for regulation of competition, price and quality. It concludes that recognising small independent water vendors as part of a regulatory framework will result in increased access to water for the poor and assist in the realisation of the MDGs, the right to water and intergenerational equity. © The Author 2013. Published by Oxford University Press.All rights reserved.",Scopus,SEARCH_030
Improvement of yield and purity of human fibroblast growth factor-21,Yu D.; Ye X.; Ren G.; Xu P.; Li S.; Niu Z.; Li D.,2014,10.13345/j.cjb.130415,https://www.scopus.com/pages/publications/84900503176?origin=resultslist,"Fibroblast growth factor -21 (FGF-21) is a recently discovered metabolic regulation factor, regulating glucose and lipid metabolism and increasing insulin sensitivity. FGF-21 is expected to be a potential anti-diabetic drug. Expression of FGF-21 as inclusion bodies has advantages for high yield and purity, but the bioactivity of the protein is almost totally lost after denature and renature. That is why FGF-21 is currently expressed in soluble form. As a result, the yield is considerably low. In this study, we used SUMO vector to express SUMO-human FGF-21 (SUMO-hFGF-21) in form of inclusion body. We optimized the culture conditions to increase the yield of the bioactive human fibroblast growth factor-21. We applied the hollow fiber membrane filtration column to enrich the bacteria, wash, denature and renature inclusion bodies. After affinity and gel filtration chromatography, we examined the hypoglycemic activity of FGF-21 by the glucose uptake assay in HepG2 cells. We also detected the blood glucose concentration of type 2 diabetic db/db model mice after short or long-term treatment. The results show that the yield of ihFGF-21 was 4 times higher than that of shFGF-21. The yield was 20 mg/L for ihFGF-21 vs. 6 mg/L for shFGF-21. The purity of ihFGF-21 was above 95%, while shFGF-21 was 90%. Compared with the traditional method of extracting inclusion bodies, the production cycle was about three times shortened by application of hollow fiber membrane filtration column technology, but the bioactivity did not significantly differ. This method provides an efficient and cost-effective strategy to the pilot and industrial production of hFGF-21. ©2014 Chin J Biotech. All rights reserved.",Scopus,SEARCH_030
Mobile versus fixed deployment of automated external defibrillators in rural EMS,Darrell Nelson R.; Bozeman W.; Collins G.; Booe B.; Baker T.; Alson R.,2015,10.1017/S1049023X1500014X,https://www.scopus.com/pages/publications/84925457645?origin=resultslist,"Introduction There is no consensus on where automated external defibrillators (AEDs) should be placed in rural communities to maximize impact on survival from cardiac arrest. In the community of Stokes County, North Carolina (USA) the Emergency Medical Services (EMS) system promotes cardiopulmonary resuscitation (CPR) public education and AED use with public access defibrillators (PADs) placed mainly in public schools, churches, and government buildings. Hypothesis/Problem This study tested the utilization of AEDs assigned to first responders (FRs) in their private-owned-vehicle (POV) compared to AEDs in fixed locations. Methods The authors performed a prospective, observational study measuring utilization of AEDs carried by FRs in their POV compared to utilization of AEDs in fixed locations. Automated external defibrillator utilization is activation with pads placed on the patient and analysis of heart rhythm to determine if shock/no-shock is indicated. The Institutional Review Board of Wake Forest University Baptist Health System approved the study and written informed consent was waived. The study began on December 01, 2012 at midnight and ended on December 01, 2013 at midnight. Results During the 12-month study period, 81 community AEDs were in place, 66 in fixed locations and 15 assigned to FRs in their POVs. No utilizations of the 66 fixed location AEDs were reported (0.0 utilizations/AED/year) while 19 utilizations occurred in the FR POV AED study group (1.27 utilizations/AED/year; P<.0001). Odds ratio of using a FR POV located AED was 172 times more likely than using a community fixed-location AED in this rural community. Discussion Placing AEDs in a rural community poses many challenges for optimal utilization in terms of cardiac arrest occurrences. Few studies exist to direct rural community efforts in placing AEDs where they can be most effective, and it has been postulated that placing them directly with FRs may be advantageous. Conclusions In this rural community, the authors found that placing AED devices with FRs in their POVs resulted in a statistically significant increase in utilizations over AED fixed locations. Nelson RD, Bozeman W, Collins G, Booe B, Baker T, Alson R. © © World Association for Disaster and Emergency Medicine 2015.",Scopus,SEARCH_030
"Violence, gender and WASH: spurring action on a complex, under-documented and sensitive topic",Sommer M.; Ferron S.; Cavill S.; House S.,2015,10.1177/0956247814564528,https://www.scopus.com/pages/publications/84927745907?origin=resultslist,"The global community of water, sanitation and hygiene (WASH) researchers, practitioners and policy makers has to date inadequately addressed the challenge of vulnerability to violence in relation to access to water and sanitation in development and humanitarian emergency contexts. Reasons may include the lack of valid and reliable documentation of girls’, boys’, women’s, and men’s experiences of violence while accessing water and/or sanitation facilities; the sensitivity of the topic, with secrecy around individuals’ experiences of violence and their sanitation needs further hindering the collection of reliable data; the complexity of understanding the gendered dimensions of vulnerability to violence, with girls and women at least anecdotally reported to be more likely to experience violence in relation to WASH; and the likelihood that many WASH practitioners lack training in gender and violence, affecting their ability to deliver adequate programming and evaluation. In an effort to encourage increased action and learning on the intersection of gender, violence and WASH, a review of the existing evidence and practice was conducted. Findings indicate the need for more systematic, reliable, and ethically conducted monitoring and learning on this topic to build a more solid evidence base, while also refining key principles for improved policy and programming. © 2014 International Institute for Environment and Development (IIED)",Scopus,SEARCH_030
Local contexts of drinking-water quality surveillance: Brazil and Colombia; [Contextos locales de la vigilancia de la calidad del agua para consumo humano: Brasil y Colombia],Guzmán-Barragán B.L.; Días Bevilacqua P.; Nava-Tovar G.,2015,10.15446/rsap.v17n6.40977,https://www.scopus.com/pages/publications/84957900059?origin=resultslist,"Objective This article aims to analyze comparatively the national surveillance systems of water quality for human consumption (DWQS) of Brazil and Colombia, seeking to understand how practices are organized in these countries, along with their limits and possibilities. Methods The National Cross Comparison methodology was used with document analysis of secondary sources, with the purpose of discussing the similarities and differences between the two systems using the WHO’s Guidelines for Drinking Water Quality. Results The legal framework on DWQS in Brazil and Colombia was defined in the 70s and 80s, coinciding with the international visibility of this issue. Thereafter, DWQS practices in Brazil have been defined and organized in a national program, which has only recently started in Colombia. The current Brazilian and Colombian legislations show progress in technical elements that guide surveillance practices, such as the incorporation of risk assessment methodologies. The Colombian legislation defines the regulation of water supply services provision, which is not contemplated in Brazilian legislation. Elements such as decentralization, intersectionality, universality and right to information are included in the legislations of both countries, although further action on DWQS is needed. Conclusions Brazil and Colombia have similarities in the implementation of DWQS, despite being at different points in the implementation timeline. Actions on drinking-water quality surveillance are necessary to guarantee human rights related to the protection of the environment, such as universal access to drinking water, contributing to the promotion of health. © 2015, Universidad Nacional de Colombia. All rights reserved.",Scopus,SEARCH_030
Solving Rural Water Exclusion: Challenges and Limits to Co-Management in Costa Rica,Dobbin K.B.; Sarathy B.,2015,10.1080/08941920.2014.948245,https://www.scopus.com/pages/publications/84937252525?origin=resultslist,"Co-management has been promoted as a solution to expanding rural water access. In Central America, community water associations provide water service to 25% of the population, but poor water quality continues to leave many residents at risk of waterborne illness. In Costa Rica, dominant prescriptions for addressing these shortcomings include improvements to the institutional framework and policy reform. In this article, we evaluate the role of institutional arrangements, community involvement, and human capital in ASADA (Administrative Associations for Aqueducts and Sewers, by Spanish acronym) performance. We argue that while national community water management programs can be effective in expanding rural water access, there are limits to the indiscriminate implementation of co-management to address rural/urban water disparity. More specifically, we find that community-level factors impact ASADA performance, and thus need to be considered in policy decisions about whether co-management itself is necessarily the most appropriate approach. © 2015, Copyright © Taylor & Francis Group, LLC.",Scopus,SEARCH_030
Interventions required to enhance wetlands as settings for human well-being,Horwitz P.; Finlayson C.M.; Kumar R.,2015,10.1007/978-94-017-9609-5_10,https://www.scopus.com/pages/publications/84956736706?origin=resultslist,"The close relationship that exists between food production, water use and water extraction dictates that those charged with wetland management consider a broader societal objective that extends beyond nature conservation and a sectoral or simplistic approach to natural resource management. Given the interactions that occur between wetlands and human health is it imperative that wetland managers are involved in efforts to build and sustain the coping capacity of affected human communities, and to recognize that these efforts will need to operate at local, national, or regional levels. This is because the factors, such as poverty and high burdens of disease, that place populations at risk can also limit the capacity of these populations to prepare for the future, or in this instance, make wise use of their wetland ecosystems. In proposing ways in which societies can intervene via wetland management we draw significantly on material presented in a similarly titled chapter of a Ramsar Technical Report, and from a Resolution passed by the Ramsar Convention on Wetlands 2012 Conference of Parties in Romania. Many of the possible response options for addressing ecosystem change and human health and wellbeing lie outside the direct control of the wetland and water sectors, or indeed, even the health sector. Instead they are likely to be embedded in areas such as sanitation and water supply, education and training, agriculture and fisheries, trade, tourism, transport, development, housing and infrastructure. As a consequence integrated interventions will need to address existing social values and cultural norms, existing infrastructure, and the social, economic, and demographic driving forces that result in wetland change. This includes ensuring steps are taken to enable marginalised stakeholders to be effectively represented at all stages of the management cycle, increased transparency and access to information, and engaging with and supporting the core pursuits of other sectors. Possible responses could encompass steps to: promote cross-sectoral governance and institutional structures; promote and rationalize incentive structures; support social and behavioural responses, including capacity building, communication and empowerment; develop technological solutions such as a way of enhancing multi functionality of ecosystems; and develop other cognitive responses. © Springer Science+Business Media Dordrecht 2015.. All rights reserved.",Scopus,SEARCH_030
Domestic private fecal sludge emptying services in cambodia: Between market efficiency and regulation needs for sustainable management,Frenoux C.M.; Tsitsikalis A.,2015,10.2166/washdev.2014.219,https://www.scopus.com/pages/publications/84930723082?origin=resultslist,"Over the past decades, in developing countries, several urban sanitation management models have been promoted, showing various results, often poor, as regards reducing negative environmental, public health impacts and in reaching access to sanitation for all. Many studies and reports highlight that solutions should be found by promotion of on-site and decentralized sanitation approaches including fecal sludge management (FSM). However, few papers have either offered a comprehensive analysis of FSM services, regarding both demand from households and services provision from public and/or private operators. Based on field research in Cambodia, this paper aims to fill this gap. It is built on a large survey conducted in three cities in 2011. Results showed that the Cambodian FSM sector is dominated by private mechanical extraction and transportation operators (ETO). The FSM market looks economically efficient with reasonable fees. It also offers a reasonably high level of service quality including profitability of businesses, although the FSM market is also characterized by strong negative environmental externalities that are not considered. Consequently, this paper advocates an integrated urban sanitation approach that aims at exploring in more detail how to integrate gradually and complementarily private mechanical ETOs and households practices into a more complex sanitation urban model raising the key issue of financing the externalities’ costs. © IWA Publishing 2015",Scopus,SEARCH_030
